province_region,Description,Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management occupations ,0,"1,913","1,752","1,508","2,245","2,721","2,608","4,041","4,663"
Canada,"Business, finance and administration occupations ",1,"1,101","1,214","1,175","2,581","2,982","2,619","7,281","10,789"
Canada,Natural and applied sciences and related occupations ,2,"4,124","3,974","4,136","5,629","4,544","5,814","10,621","8,101"
Canada,Health occupations ,3,666,509,447,932,"1,238","1,389","3,151","4,336"
Canada,"Occupations in education, law and social, community and government services ",4,"6,867","7,533","9,121","7,332","4,589","5,611","5,446","6,055"
Canada,"Occupations in art, culture, recreation and sport ",5,"4,536","3,035","2,719","2,673","1,249","1,399","2,738","2,345"
Canada,Sales and service occupations ,6,"7,906","8,899","8,705","15,361","13,044","13,972","40,715","48,549"
Canada,"Trades, transport and equipment operators and related occupations ",7,"6,450","6,945","7,270","14,733","12,699","12,734","32,614","33,981"
Canada,"Natural resources, agriculture and related production occupations ",8,"54,597","60,808","70,066","73,170","73,412","78,144","92,118","103,706"
Canada,Occupations in manufacturing and utilities ,9,"2,154","3,477","3,841","5,796","8,795","8,905","24,117","17,110"
Newfoundland and Labrador,Management occupations ,0,75,34,14,9,17,23,11,14
Newfoundland and Labrador,"Business, finance and administration occupations ",1,16,6,5,6,14,18,11,18
Newfoundland and Labrador,Natural and applied sciences and related occupations ,2,707,469,117,196,185,166,206,136
Newfoundland and Labrador,Health occupations ,3,28,10,8,13,31,18,15,23
Newfoundland and Labrador,"Occupations in education, law and social, community and government services ",4,25,13,11,7,4,1,6,6
Newfoundland and Labrador,"Occupations in art, culture, recreation and sport ",5,11,9,1,6,2,1,0,1
Newfoundland and Labrador,Sales and service occupations ,6,173,83,49,50,38,85,136,192
Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations ",7,584,402,129,98,373,242,267,120
Newfoundland and Labrador,"Natural resources, agriculture and related production occupations ",8,70,103,85,93,111,113,218,266
Newfoundland and Labrador,Occupations in manufacturing and utilities ,9,52,88,58,17,152,27,583,892
