province_territory,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,1912.0,1175.0,533.0,864.0,744.0,1069.0,1360.0,1952.0
Prince Edward Island,979.0,1246.0,1066.0,1413.0,2008.0,1734.0,1921.0,1855.0
Nova Scotia,2531.0,3504.0,3134.0,3187.0,3663.0,4102.0,5628.0,5677.0
New Brunswick,1648.0,1664.0,1936.0,2140.0,3205.0,3726.0,6967.0,5792.0
Quebec,17107.0,20934.0,28046.0,32905.0,33964.0,42650.0,63685.0,65581.0
Ontario,36729.0,44685.0,42247.0,43862.0,47132.0,50100.0,62064.0,83403.0
Manitoba,1455.0,1610.0,2106.0,1978.0,1880.0,2525.0,4255.0,5983.0
Saskatchewan,1256.0,1272.0,1622.0,1521.0,1344.0,1524.0,2561.0,4027.0
Alberta,13115.0,10650.0,13264.0,12447.0,10532.0,12920.0,24597.0,37378.0
British Columbia,26117.0,26608.0,37466.0,31815.0,35407.0,38076.0,48690.0,64923.0
Yukon,126.0,129.0,123.0,146.0,61.0,138.0,168.0,167.0
Northwest Territories,79.0,68.0,64.0,58.0,28.0,76.0,105.0,211.0
Nunavut,156.0,44.0,141.0,136.0,46.0,84.0,77.0,146.0
Canada,103232.0,113603.0,131748.0,132472.0,140014.0,158724.0,222078.0,277095.0
