stream,2016,2017,2018,2019,2020,2021,2022,2023,province_region
Global Talent,0.0,767.0,2850.0,4138.0,3227.0,5061.0,8493.0,4652.0,Canada
High-Wage,17715.0,16718.0,14456.0,25010.0,20772.0,20462.0,45721.0,45874.0,Canada
Low-Wage,15817.0,19120.0,21394.0,28121.0,26885.0,29007.0,78048.0,83654.0,Canada
Permanent Resident Only,2554.0,1082.0,962.0,1102.0,2133.0,1325.0,1494.0,4397.0,Canada
Primary Agriculture,54203.0,60457.0,69326.0,72086.0,72262.0,77341.0,89091.0,101069.0,Canada
Global Talent,0.0,0.0,2.0,21.0,2.0,11.0,3.0,6.0,Newfoundland and Labrador
High-Wage,1537.0,1026.0,316.0,337.0,651.0,476.0,630.0,453.0,Newfoundland and Labrador
Low-Wage,164.0,152.0,113.0,68.0,193.0,132.0,717.0,1106.0,Newfoundland and Labrador
Permanent Resident Only,4.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,Newfoundland and Labrador
Primary Agriculture,36.0,36.0,46.0,67.0,81.0,73.0,103.0,101.0,Newfoundland and Labrador
Global Talent,0.0,0.0,1.0,2.0,8.0,3.0,5.0,3.0,Prince Edward Island
High-Wage,124.0,129.0,116.0,84.0,61.0,69.0,119.0,94.0,Prince Edward Island
Low-Wage,462.0,509.0,487.0,566.0,901.0,924.0,1488.0,901.0,Prince Edward Island
Permanent Resident Only,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Prince Edward Island
Primary Agriculture,360.0,418.0,408.0,526.0,754.0,508.0,679.0,712.0,Prince Edward Island
Global Talent,0.0,5.0,8.0,33.0,31.0,106.0,141.0,69.0,Nova Scotia
High-Wage,571.0,383.0,320.0,334.0,184.0,287.0,429.0,444.0,Nova Scotia
Low-Wage,267.0,425.0,345.0,491.0,689.0,1354.0,2106.0,1997.0,Nova Scotia
Permanent Resident Only,3.0,1.0,2.0,0.0,3.0,2.0,10.0,10.0,Nova Scotia
Primary Agriculture,1615.0,1889.0,2719.0,1965.0,2352.0,2412.0,2907.0,2917.0,Nova Scotia
Global Talent,0.0,0.0,3.0,12.0,9.0,13.0,31.0,18.0,New Brunswick
High-Wage,422.0,279.0,256.0,387.0,225.0,470.0,643.0,624.0,New Brunswick
Low-Wage,862.0,1325.0,905.0,1246.0,2268.0,2105.0,5896.0,3619.0,New Brunswick
Permanent Resident Only,3.0,3.0,0.0,12.0,13.0,3.0,14.0,8.0,New Brunswick
Primary Agriculture,184.0,193.0,197.0,317.0,371.0,424.0,554.0,746.0,New Brunswick
Global Talent,0.0,72.0,1016.0,1894.0,1288.0,1936.0,3416.0,2081.0,Quebec
High-Wage,2476.0,2626.0,2744.0,4940.0,5306.0,4687.0,11764.0,8958.0,Quebec
Low-Wage,1337.0,1464.0,2071.0,4024.0,6224.0,4801.0,23036.0,25499.0,Quebec
Permanent Resident Only,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec
Primary Agriculture,16480.0,13452.0,15426.0,22732.0,20138.0,24275.0,28578.0,25668.0,Quebec
Global Talent,0.0,296.0,826.0,1200.0,1141.0,1663.0,2768.0,1717.0,Ontario
High-Wage,3497.0,3781.0,3642.0,4980.0,5068.0,4936.0,10852.0,13793.0,Ontario
Low-Wage,3749.0,4472.0,6332.0,5938.0,5365.0,6490.0,13043.0,17610.0,Ontario
Permanent Resident Only,916.0,635.0,473.0,656.0,1478.0,856.0,873.0,2997.0,Ontario
Primary Agriculture,22263.0,29930.0,29634.0,28652.0,28444.0,31251.0,34484.0,38508.0,Ontario
Global Talent,0.0,9.0,86.0,25.0,28.0,52.0,67.0,21.0,Manitoba
High-Wage,258.0,273.0,242.0,590.0,478.0,656.0,1547.0,2078.0,Manitoba
Low-Wage,272.0,321.0,289.0,388.0,172.0,414.0,1218.0,1247.0,Manitoba
Permanent Resident Only,19.0,5.0,4.0,6.0,11.0,8.0,3.0,9.0,Manitoba
Primary Agriculture,699.0,716.0,838.0,943.0,1084.0,728.0,1045.0,1321.0,Manitoba
Global Talent,0.0,0.0,11.0,23.0,12.0,29.0,23.0,5.0,Saskatchewan
High-Wage,353.0,246.0,252.0,345.0,207.0,317.0,594.0,673.0,Saskatchewan
Low-Wage,220.0,221.0,219.0,290.0,193.0,254.0,952.0,1228.0,Saskatchewan
Permanent Resident Only,12.0,2.0,2.0,4.0,9.0,3.0,4.0,6.0,Saskatchewan
Primary Agriculture,581.0,621.0,614.0,804.0,743.0,615.0,874.0,1212.0,Saskatchewan
Global Talent,0.0,11.0,85.0,114.0,75.0,180.0,485.0,151.0,Alberta
High-Wage,2096.0,1805.0,1701.0,3392.0,1580.0,1360.0,6167.0,7103.0,Alberta
Low-Wage,5072.0,5201.0,4381.0,6470.0,3829.0,4628.0,13551.0,15391.0,Alberta
Permanent Resident Only,746.0,160.0,203.0,136.0,93.0,109.0,309.0,257.0,Alberta
Primary Agriculture,2311.0,2402.0,2654.0,2828.0,2541.0,2835.0,2938.0,4605.0,Alberta
Global Talent,0.0,374.0,812.0,814.0,632.0,1068.0,1553.0,578.0,British Columbia
High-Wage,6218.0,6011.0,4718.0,9472.0,6948.0,7056.0,12813.0,11475.0,British Columbia
Low-Wage,3259.0,4985.0,6141.0,8462.0,7002.0,7835.0,15829.0,14856.0,British Columbia
Permanent Resident Only,850.0,271.0,278.0,285.0,526.0,342.0,281.0,1107.0,British Columbia
Primary Agriculture,9674.0,10800.0,16790.0,13251.0,15753.0,14219.0,16928.0,25279.0,British Columbia
Global Talent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Yukon
High-Wage,81.0,102.0,98.0,111.0,34.0,118.0,124.0,114.0,Yukon
Low-Wage,26.0,16.0,9.0,28.0,5.0,8.0,33.0,22.0,Yukon
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yukon
Primary Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yukon
Global Talent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Northwest Territories
High-Wage,25.0,23.0,2.0,9.0,2.0,0.0,15.0,20.0,Northwest Territories
Low-Wage,39.0,23.0,19.0,46.0,26.0,29.0,115.0,102.0,Northwest Territories
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northwest Territories
Primary Agriculture,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Northwest Territories
Global Talent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nunavut
High-Wage,57.0,34.0,49.0,29.0,28.0,30.0,24.0,45.0,Nunavut
Low-Wage,88.0,6.0,83.0,104.0,18.0,33.0,64.0,76.0,Nunavut
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunavut
Primary Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunavut
