program_stream,2016,2017,2018,2019,2020,2021,2022,2023,province_region,region_code,region_name
High-wage,135.0,67.0,48.0,26.0,20.0,18.0,30.0,22.0,Newfoundland and Labrador,1010,Avalon Peninsula
Low-wage,54.0,58.0,79.0,25.0,11.0,14.0,504.0,778.0,Newfoundland and Labrador,1010,Avalon Peninsula
Primary Agriculture,26.0,17.0,24.0,27.0,46.0,32.0,46.0,35.0,Newfoundland and Labrador,1010,Avalon Peninsula
Global Talent Stream,0.0,0.0,1.0,21.0,2.0,10.0,3.0,4.0,Newfoundland and Labrador,1010,Avalon Peninsula
Permanent Resident Only,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,Newfoundland and Labrador,1010,Avalon Peninsula
High-wage,0.0,8.0,4.0,3.0,2.0,2.0,13.0,4.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
Low-wage,1.0,1.0,0.0,0.0,0.0,2.0,23.0,56.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
High-wage,22.0,9.0,16.0,9.0,9.0,5.0,11.0,21.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Low-wage,19.0,11.0,23.0,18.0,17.0,26.0,61.0,85.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Primary Agriculture,8.0,13.0,16.0,12.0,19.0,21.0,36.0,44.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Global Talent Stream,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
High-wage,14.0,5.0,4.0,8.0,11.0,18.0,18.0,16.0,Newfoundland and Labrador,1040,Notre Dame--Central Bonavista Bay
