Province_Region,NOC_Code,Occupation,2016,2017,2018,2019,2020,2021,2022,2023
Canada,11,Legislators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,12,Senior government managers and officials,0.0,2.0,2.0,0.0,5.0,1.0,3.0,6.0
Canada,13,"Senior managers - financial, communications and other business services",95.0,103.0,126.0,194.0,197.0,192.0,190.0,316.0
Canada,14,"Senior managers - health, education, social and community services and membership organizations",12.0,24.0,20.0,35.0,54.0,49.0,38.0,72.0
Canada,15,"Senior managers - trade, broadcasting and other services, n.e.c.",63.0,73.0,91.0,154.0,186.0,201.0,170.0,280.0
Canada,16,"Senior managers - construction, transportation, production and utilities",112.0,115.0,127.0,120.0,174.0,172.0,150.0,236.0
Canada,111,Financial managers,39.0,27.0,14.0,27.0,27.0,32.0,76.0,92.0
Canada,112,Human resources managers,18.0,10.0,10.0,6.0,11.0,16.0,28.0,55.0
Canada,113,Purchasing managers,25.0,23.0,13.0,20.0,28.0,26.0,45.0,48.0
Canada,114,Other administrative services managers,18.0,10.0,14.0,17.0,20.0,37.0,120.0,149.0
Canada,121,"Insurance, real estate and financial brokerage managers",5.0,3.0,1.0,1.0,6.0,7.0,4.0,9.0
Canada,122,"Banking, credit and other investment managers",6.0,2.0,5.0,1.0,5.0,6.0,9.0,15.0
Canada,124,"Advertising, marketing and public relations managers",124.0,107.0,81.0,67.0,97.0,109.0,185.0,225.0
Canada,125,Other business services managers,12.0,14.0,11.0,21.0,39.0,55.0,68.0,51.0
Canada,131,Telecommunication carriers managers,2.0,3.0,2.0,3.0,6.0,2.0,1.0,0.0
Canada,132,Postal and courier services managers,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0
Canada,211,Engineering managers,54.0,71.0,40.0,54.0,23.0,32.0,45.0,54.0
Canada,212,Architecture and science managers,5.0,16.0,9.0,11.0,5.0,7.0,11.0,13.0
Canada,213,Computer and information systems managers,88.0,123.0,177.0,249.0,245.0,376.0,662.0,407.0
