province_region,Occupation,Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management occupations ,0,"1,834","1,701","1,452","2,180","2,646","2,569","3,894","4,460"
Canada,"Business, finance and administration occupations ",1,"1,065","1,196","1,153","2,492","2,887","2,499","6,739","10,035"
Canada,Natural and applied sciences and related occupations ,2,"3,350","3,238","3,465","5,003","4,200","5,360","9,419","7,204"
Canada,Health occupations ,3,617,478,401,682,869,972,"1,778","2,552"
Canada,"Occupations in education, law and social, community and government services ",4,"6,797","7,458","9,003","7,153","4,451","5,515","5,142","5,467"
Canada,"Occupations in art, culture, recreation and sport ",5,"4,132","2,777","2,378","2,377","1,172","1,296","2,482","2,095"
Canada,Sales and service occupations ,6,"6,013","6,841","6,286","11,271","9,987","9,894","24,417","31,142"
Canada,"Trades, transport and equipment operators and related occupations ",7,"3,090","3,447","3,131","6,143","5,607","5,719","13,286","14,689"
Canada,"Natural resources, agriculture and related production occupations ",8,"8,332","8,344","9,430","11,037","11,243","12,192","15,146","15,252"
Canada,Occupations in manufacturing and utilities ,9,249,344,403,805,"1,143","1,140","3,206","3,252"
Canada,,,"35,479","35,824","37,102","49,144","44,207","47,157","85,514","96,159"
Newfoundland and Labrador,Management occupations ,0,67,34,14,9,16,22,10,13
Newfoundland and Labrador,"Business, finance and administration occupations ",1,14,6,5,4,13,11,9,16
Newfoundland and Labrador,Natural and applied sciences and related occupations ,2,567,453,98,143,158,142,151,108
Newfoundland and Labrador,Health occupations ,3,27,10,8,13,29,17,15,19
Newfoundland and Labrador,"Occupations in education, law and social, community and government services ",4,25,13,11,7,4,1,4,5
Newfoundland and Labrador,"Occupations in art, culture, recreation and sport ",5,11,9,1,6,2,1,0,1
Newfoundland and Labrador,Sales and service occupations ,6,117,77,29,30,33,44,71,89
Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations ",7,371,350,84,73,179,101,154,78
Newfoundland and Labrador,"Natural resources, agriculture and related production occupations ",8,32,72,39,33,40,43,83,115
Newfoundland and Labrador,Occupations in manufacturing and utilities ,9,9,7,5,5,5,4,27,27
Newfoundland and Labrador,,,"1,240","1,031",294,323,479,386,524,471
Prince Edward Island,Management occupations ,0,8,4,3,3,9,6,3,5
Prince Edward Island,"Business, finance and administration occupations ",1,1,1,0,1,0,2,1,7
Prince Edward Island,Natural and applied sciences and related occupations ,2,31,13,2,1,4,2,5,4
Prince Edward Island,Health occupations ,3,4,4,0,3,3,1,4,2
Prince Edward Island,"Occupations in education, law and social, community and government services ",4,6,3,4,5,0,3,2,2
Prince Edward Island,"Occupations in art, culture, recreation and sport ",5,4,1,0,1,0,0,1,0
Prince Edward Island,Sales and service occupations ,6,8,11,6,12,7,9,60,45
Prince Edward Island,"Trades, transport and equipment operators and related occupations ",7,13,19,10,12,9,10,21,25
Prince Edward Island,"Natural resources, agriculture and related production occupations ",8,62,66,72,74,92,96,127,131
Prince Edward Island,Occupations in manufacturing and utilities ,9,17,18,17,17,22,23,39,30
Prince Edward Island,,,154,140,114,129,146,152,263,251
Nova Scotia,Management occupations ,0,52,59,42,40,47,42,54,53
Nova Scotia,"Business, finance and administration occupations ",1,10,5,8,5,5,16,43,72
Nova Scotia,Natural and applied sciences and related occupations ,2,192,92,40,88,56,110,147,79
Nova Scotia,Health occupations ,3,26,10,6,5,8,7,6,8
Nova Scotia,"Occupations in education, law and social, community and government services ",4,23,28,35,24,23,27,8,21
Nova Scotia,"Occupations in art, culture, recreation and sport ",5,16,3,21,7,0,1,3,3
Nova Scotia,Sales and service occupations ,6,73,74,43,55,58,72,294,466
Nova Scotia,"Trades, transport and equipment operators and related occupations ",7,90,110,44,55,25,61,95,102
Nova Scotia,"Natural resources, agriculture and related production occupations ",8,194,170,199,188,231,218,272,282
Nova Scotia,Occupations in manufacturing and utilities ,9,24,19,18,21,34,60,83,69
Nova Scotia,,,700,570,456,488,487,614,"1,005","1,155"
New Brunswick,Management occupations ,0,10,9,4,6,13,13,29,30
New Brunswick,"Business, finance and administration occupations ",1,11,2,4,6,5,11,37,25
New Brunswick,Natural and applied sciences and related occupations ,2,142,73,41,27,18,24,42,37
New Brunswick,Health occupations ,3,10,14,6,8,5,16,24,30
New Brunswick,"Occupations in education, law and social, community and government services ",4,10,17,9,10,4,10,10,11
New Brunswick,"Occupations in art, culture, recreation and sport ",5,1,0,0,0,0,1,1,1
New Brunswick,Sales and service occupations ,6,65,58,53,103,108,124,263,332
New Brunswick,"Trades, transport and equipment operators and related occupations ",7,133,82,61,54,43,71,126,82
New Brunswick,"Natural resources, agriculture and related production occupations ",8,42,39,39,58,57,76,108,121
New Brunswick,Occupations in manufacturing and utilities ,9,29,33,33,36,58,76,141,107
New Brunswick,,,453,327,250,308,311,422,781,776
Quebec,Management occupations ,0,132,129,151,193,197,217,453,530
Quebec,"Business, finance and administration occupations ",1,90,100,103,139,212,224,994,"1,584"
Quebec,Natural and applied sciences and related occupations ,2,797,924,"1,327","2,106","1,480","2,159","4,118","3,234"
Quebec,Health occupations ,3,141,90,102,320,460,538,"1,077","1,425"
Quebec,"Occupations in education, law and social, community and government services ",4,334,365,318,520,742,632,"1,288","1,336"
Quebec,"Occupations in art, culture, recreation and sport ",5,"1,015",628,707,837,405,330,"1,025",905
Quebec,Sales and service occupations ,6,252,269,235,531,841,692,"3,681","5,477"
Quebec,"Trades, transport and equipment operators and related occupations ",7,251,359,557,"1,178","1,507","1,166","4,204","4,587"
Quebec,"Natural resources, agriculture and related production occupations ",8,"3,488","2,950","3,381","5,057","4,824","5,849","7,432","6,892"
Quebec,Occupations in manufacturing and utilities ,9,55,94,162,431,709,632,"2,139","2,072"
Quebec,,,"6,555","5,908","7,043","11,312","11,377","12,439","26,411","28,042"
Ontario,Management occupations ,0,584,567,585,784,"1,005",997,"1,532","2,181"
Ontario,"Business, finance and administration occupations ",1,378,482,448,819,"1,235",826,"1,875","3,754"
Ontario,Natural and applied sciences and related occupations ,2,798,894,"1,043","1,440","1,366","1,695","2,952","2,486"
Ontario,Health occupations ,3,116,118,110,121,170,148,293,522
Ontario,"Occupations in education, law and social, community and government services ",4,"3,315","3,545","4,220","3,237","1,824","2,483","1,961","2,227"
Ontario,"Occupations in art, culture, recreation and sport ",5,887,638,545,523,257,255,506,402
Ontario,Sales and service occupations ,6,772,"1,120","1,226","2,013","2,759","2,283","5,145","8,692"
Ontario,"Trades, transport and equipment operators and related occupations ",7,542,697,640,991,"1,248","1,273","2,626","3,441"
Ontario,"Natural resources, agriculture and related production occupations ",8,"2,627","3,001","3,065","2,968","3,022","3,174","3,726","3,699"
Ontario,Occupations in manufacturing and utilities ,9,28,49,79,97,132,119,332,448
Ontario,,,"10,047","11,111","11,961","12,993","13,018","13,253","20,948","27,852"
Manitoba,Management occupations ,0,12,13,20,37,23,27,45,55
Manitoba,"Business, finance and administration occupations ",1,7,7,14,28,26,47,172,312
Manitoba,Natural and applied sciences and related occupations ,2,19,29,53,36,29,57,76,41
Manitoba,Health occupations ,3,22,20,8,13,5,25,29,46
Manitoba,"Occupations in education, law and social, community and government services ",4,37,35,46,58,31,45,32,46
Manitoba,"Occupations in art, culture, recreation and sport ",5,26,9,30,4,2,4,5,8
Manitoba,Sales and service occupations ,6,44,58,71,112,100,121,447,685
Manitoba,"Trades, transport and equipment operators and related occupations ",7,39,39,46,105,105,148,327,366
Manitoba,"Natural resources, agriculture and related production occupations ",8,101,113,114,154,157,138,197,180
Manitoba,Occupations in manufacturing and utilities ,9,1,1,5,4,1,3,16,15
Manitoba,,,308,324,407,551,479,615,"1,346","1,754"
Saskatchewan,Management occupations ,0,17,18,10,14,15,24,21,37
Saskatchewan,"Business, finance and administration occupations ",1,3,4,1,6,3,10,42,62
Saskatchewan,Natural and applied sciences and related occupations ,2,66,33,21,28,16,34,33,22
Saskatchewan,Health occupations ,3,38,40,29,15,19,21,31,24
Saskatchewan,"Occupations in education, law and social, community and government services ",4,79,73,112,73,20,41,26,26
Saskatchewan,"Occupations in art, culture, recreation and sport ",5,3,5,8,4,0,1,5,4
Saskatchewan,Sales and service occupations ,6,119,125,85,183,123,171,529,641
Saskatchewan,"Trades, transport and equipment operators and related occupations ",7,43,30,32,49,40,65,124,157
Saskatchewan,"Natural resources, agriculture and related production occupations ",8,180,182,182,283,257,246,331,334
Saskatchewan,Occupations in manufacturing and utilities ,9,0,1,3,3,1,4,15,17
Saskatchewan,,,548,511,483,658,494,617,"1,157","1,324"
Alberta,Management occupations ,0,487,315,172,257,160,217,369,420
Alberta,"Business, finance and administration occupations ",1,182,157,161,457,356,463,"1,672","2,085"
Alberta,Natural and applied sciences and related occupations ,2,182,123,148,199,119,213,426,355
Alberta,Health occupations ,3,173,97,77,88,70,83,123,259
Alberta,"Occupations in education, law and social, community and government services ",4,"1,237","1,270","1,473","1,071",417,605,521,550
Alberta,"Occupations in art, culture, recreation and sport ",5,144,91,63,80,34,44,89,88
Alberta,Sales and service occupations ,6,"2,769","2,595","1,900","3,532","2,145","2,583","6,617","7,451"
Alberta,"Trades, transport and equipment operators and related occupations ",7,616,573,487,"1,071",525,520,"1,870","2,349"
Alberta,"Natural resources, agriculture and related production occupations ",8,470,503,577,637,588,587,700,836
Alberta,Occupations in manufacturing and utilities ,9,50,62,25,69,25,34,118,187
Alberta,,,"6,310","5,786","5,083","7,461","4,439","5,349","12,505","14,580"
British Columbia,Management occupations ,0,459,549,445,832,"1,159",999,"1,371","1,134"
British Columbia,"Business, finance and administration occupations ",1,366,431,407,"1,025","1,031",885,"1,889","2,115"
British Columbia,Natural and applied sciences and related occupations ,2,533,597,665,928,946,913,"1,460",808
British Columbia,Health occupations ,3,58,71,54,93,99,115,174,215
British Columbia,"Occupations in education, law and social, community and government services ",4,"1,709","2,079","2,746","2,132","1,379","1,660","1,287","1,239"
British Columbia,"Occupations in art, culture, recreation and sport ",5,"1,941","1,324",912,821,441,546,744,579
British Columbia,Sales and service occupations ,6,"1,680","2,428","2,593","4,631","3,791","3,773","7,239","7,192"
British Columbia,"Trades, transport and equipment operators and related occupations ",7,960,"1,150","1,142","2,523","1,915","2,281","3,712","3,455"
British Columbia,"Natural resources, agriculture and related production occupations ",8,"1,136","1,248","1,762","1,584","1,974","1,764","2,169","2,662"
British Columbia,Occupations in manufacturing and utilities ,9,36,58,56,122,155,185,296,280
British Columbia,,,"8,878","9,935","10,782","14,691","12,890","13,121","20,341","19,679"
Yukon ,Management occupations ,0,1,1,1,1,1,3,1,0
Yukon ,"Business, finance and administration occupations ",1,0,0,0,0,0,1,3,1
Yukon ,Natural and applied sciences and related occupations ,2,3,1,2,0,0,3,1,2
Yukon ,Health occupations ,3,0,3,0,0,0,0,0,0
Yukon ,"Occupations in education, law and social, community and government services ",4,5,11,7,7,0,1,0,2
Yukon ,"Occupations in art, culture, recreation and sport ",5,76,68,85,93,31,111,103,104
Yukon ,Sales and service occupations ,6,5,2,3,16,5,3,15,12
Yukon ,"Trades, transport and equipment operators and related occupations ",7,6,23,7,14,2,2,9,7
Yukon ,"Natural resources, agriculture and related production occupations ",8,0,0,0,0,0,0,0,0
Yukon ,Occupations in manufacturing and utilities ,9,0,0,0,0,0,0,0,0
Yukon ,,,96,109,105,131,39,124,132,128
Northwest Territories,Management occupations ,0,3,2,1,4,0,2,4,2
Northwest Territories,"Business, finance and administration occupations ",1,0,1,1,1,0,0,1,1
Northwest Territories,Natural and applied sciences and related occupations ,2,8,5,0,0,0,0,1,5
Northwest Territories,Health occupations ,3,0,0,0,3,1,0,1,2
Northwest Territories,"Occupations in education, law and social, community and government services ",4,11,13,12,7,5,5,2,1
Northwest Territories,"Occupations in art, culture, recreation and sport ",5,1,0,0,0,0,0,0,0
Northwest Territories,Sales and service occupations ,6,26,9,4,20,13,13,35,31
Northwest Territories,"Trades, transport and equipment operators and related occupations ",7,11,13,2,2,2,0,10,12
Northwest Territories,"Natural resources, agriculture and related production occupations ",8,0,0,0,1,1,1,1,0
Northwest Territories,Occupations in manufacturing and utilities ,9,0,2,0,0,1,0,0,0
Northwest Territories,,,60,45,20,38,23,21,55,54
Nunavut,Management occupations ,0,2,1,4,0,1,0,2,0
Nunavut,"Business, finance and administration occupations ",1,3,0,1,1,1,3,1,1
Nunavut,Natural and applied sciences and related occupations ,2,12,1,25,7,8,8,7,23
Nunavut,Health occupations ,3,2,1,1,0,0,1,1,0
Nunavut,"Occupations in education, law and social, community and government services ",4,6,6,10,2,2,2,1,1
Nunavut,"Occupations in art, culture, recreation and sport ",5,7,1,6,1,0,2,0,0
Nunavut,Sales and service occupations ,6,83,15,38,33,4,6,21,29
Nunavut,"Trades, transport and equipment operators and related occupations ",7,15,2,19,16,7,21,8,28
Nunavut,"Natural resources, agriculture and related production occupations ",8,0,0,0,0,0,0,0,0
Nunavut,Occupations in manufacturing and utilities ,9,0,0,0,0,0,0,0,0
Nunavut,,,130,27,104,60,23,43,41,82
