province/territory,2016,2017,2018,2019,2020,2021,2022,2023,csd_code,csd_name
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1001126,Cape Broyle
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001136,Fermeuse
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,1001144,Aquaforte
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1001178,St. Mary's
Newfoundland and Labrador,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,1001197,Mount Carmel-Mitchells Brook-St. Catherine's
Newfoundland and Labrador,1.0,0.0,9.0,0.0,2.0,20.0,0.0,2.0,1001240,Placentia
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1001267,Southern Harbour
Newfoundland and Labrador,5.0,0.0,0.0,19.0,18.0,1.0,1.0,8.0,1001270,Arnold's Cove
Newfoundland and Labrador,17.0,7.0,0.0,1.0,10.0,0.0,0.0,2.0,1001274,Come By Chance
Newfoundland and Labrador,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1001277,Sunnyside
Newfoundland and Labrador,0.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,1001298,Whitbourne
Newfoundland and Labrador,0.0,2.0,2.0,0.0,8.0,0.0,6.0,0.0,1001304,"Division No. 1, Subd. E"
Newfoundland and Labrador,0.0,20.0,0.0,0.0,0.0,0.0,170.0,239.0,1001343,Old Perlican
Newfoundland and Labrador,0.0,50.0,50.0,0.0,130.0,0.0,237.0,180.0,1001347,Bay de Verde
Newfoundland and Labrador,1.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,1001370,Carbonear
Newfoundland and Labrador,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1001379,Harbour Grace
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1001396,Spaniard's Bay
Newfoundland and Labrador,5.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1001409,Bay Roberts
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,1001415,"Division No. 1, Subd. L"
Newfoundland and Labrador,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1001421,"Division No. 1, Subd. M"
