2016,2017,2018,2019,2020,2021,2022,2023,Province_Region,Region_Code,Region_Name
219.0,144.0,152.0,101.0,79.0,74.0,583.0,840.0,Newfoundland and Labrador,1010,Avalon Peninsula
1.0,9.0,4.0,3.0,2.0,4.0,36.0,61.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
49.0,34.0,56.0,39.0,45.0,53.0,108.0,151.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
18.0,12.0,7.0,40.0,38.0,59.0,153.0,162.0,Newfoundland and Labrador,1040,Notre Dame--Central Bonavista Bay
946.0,1056.0,1012.0,1179.0,1724.0,1504.0,2291.0,1711.0,Prince Edward Island,1110,Prince Edward Island
97.0,109.0,92.0,69.0,161.0,195.0,337.0,386.0,Nova Scotia,1210,Cape Breton
446.0,582.0,1073.0,665.0,704.0,1040.0,1393.0,956.0,Nova Scotia,1220,North Shore
1214.0,1368.0,1694.0,1277.0,1674.0,1796.0,1990.0,2338.0,Nova Scotia,1230,Annapolis Valley
155.0,227.0,196.0,381.0,379.0,713.0,918.0,773.0,Nova Scotia,1240,Southern
314.0,269.0,324.0,312.0,244.0,337.0,935.0,951.0,Nova Scotia,1250,Halifax
69.0,66.0,180.0,198.0,245.0,686.0,1321.0,921.0,New Brunswick,1310,Campbellton--Miramichi
857.0,1275.0,833.0,1132.0,2106.0,1574.0,4588.0,2882.0,New Brunswick,1320,Moncton--Richibucto
134.0,176.0,77.0,141.0,173.0,214.0,419.0,426.0,New Brunswick,1330,Saint John--St. Stephen
34.0,38.0,32.0,123.0,73.0,217.0,288.0,260.0,New Brunswick,1340,Fredericton--Oromocto
126.0,117.0,188.0,332.0,268.0,295.0,488.0,474.0,New Brunswick,1350,Edmundston--Woodstock
36.0,57.0,138.0,200.0,170.0,308.0,857.0,886.0,Quebec,2410,Gaspésie -- Îles-de-la-Madeleine
112.0,180.0,239.0,435.0,428.0,604.0,1250.0,1475.0,Quebec,2415,Bas-Saint-Laurent
1435.0,1558.0,1969.0,2763.0,2797.0,3272.0,6810.0,6197.0,Quebec,2420,Capitale-Nationale
1017.0,1093.0,1554.0,3013.0,3055.0,3190.0,6616.0,4700.0,Quebec,2425,Chaudière-Appalaches
490.0,663.0,892.0,1285.0,1442.0,1325.0,2540.0,2342.0,Quebec,2430,Estrie
922.0,867.0,1359.0,2081.0,2167.0,2454.0,4143.0,3624.0,Quebec,2433,Centre-du-Québec
8075.0,6178.0,6880.0,11078.0,10211.0,10793.0,17560.0,15922.0,Quebec,2435,Montérégie
2085.0,1798.0,1950.0,3159.0,2958.0,2898.0,8009.0,8690.0,Quebec,2440,Montréal
647.0,607.0,691.0,572.0,1016.0,659.0,1920.0,1819.0,Quebec,2445,Laval
2335.0,1942.0,2140.0,3241.0,3009.0,3375.0,5173.0,4437.0,Quebec,2450,Lanaudière
2062.0,1391.0,1895.0,2706.0,2752.0,3174.0,4499.0,4940.0,Quebec,2455,Laurentides
128.0,98.0,104.0,283.0,277.0,217.0,833.0,690.0,Quebec,2460,Outaouais
61.0,73.0,182.0,362.0,333.0,400.0,941.0,1105.0,Quebec,2465,Abitibi-Témiscamingue
349.0,510.0,407.0,912.0,668.0,948.0,1758.0,1273.0,Quebec,2470,Mauricie
252.0,255.0,453.0,899.0,992.0,1248.0,2231.0,2394.0,Quebec,2475,Saguenay--Lac-Saint-Jean
18.0,34.0,70.0,96.0,173.0,216.0,698.0,625.0,Quebec,2480,Côte-Nord
59.0,3.0,17.0,63.0,103.0,76.0,227.0,239.0,Quebec,2490,Nord-du-Québec
722.0,715.0,832.0,859.0,962.0,1195.0,2350.0,2983.0,Ontario,3510,Ottawa
321.0,410.0,543.0,456.0,586.0,511.0,837.0,1298.0,Ontario,3515,Kingston--Pembroke
282.0,358.0,577.0,456.0,579.0,509.0,930.0,1015.0,Ontario,3520,Muskoka--Kawarthas
7734.0,9253.0,9672.0,11302.0,11218.0,11925.0,19651.0,24352.0,Ontario,3530,Toronto
1338.0,1909.0,1986.0,1948.0,2002.0,2727.0,3997.0,4699.0,Ontario,3540,Kitchener--Waterloo--Barrie
8303.0,12784.0,11939.0,11599.0,10842.0,12045.0,14320.0,18086.0,Ontario,3550,Hamilton--Niagara Peninsula
1927.0,2662.0,2754.0,3054.0,3042.0,2880.0,3951.0,4120.0,Ontario,3560,London
8412.0,8997.0,9886.0,9588.0,10048.0,11299.0,11849.0,13292.0,Ontario,3570,Windsor--Sarnia
996.0,1488.0,1755.0,1482.0,1566.0,1554.0,2700.0,2909.0,Ontario,3580,Stratford--Bruce Peninsula
236.0,301.0,333.0,384.0,404.0,345.0,908.0,1184.0,Ontario,3590,Northeast
31.0,44.0,112.0,86.0,117.0,130.0,415.0,597.0,Ontario,3595,Northwest
85.0,67.0,60.0,179.0,134.0,90.0,356.0,334.0,Manitoba,4610,Southeast
129.0,94.0,195.0,228.0,190.0,197.0,269.0,431.0,Manitoba,4620,South Central
240.0,279.0,224.0,255.0,94.0,304.0,448.0,240.0,Manitoba,4630,Southwest
320.0,297.0,304.0,307.0,494.0,345.0,448.0,660.0,Manitoba,4640,North Central
216.0,221.0,325.0,472.0,453.0,656.0,1611.0,2098.0,Manitoba,4650,Winnipeg
55.0,158.0,154.0,252.0,240.0,175.0,361.0,505.0,Manitoba,4660,Interlake
121.0,88.0,98.0,141.0,138.0,63.0,229.0,231.0,Manitoba,4670,Parklands
60.0,61.0,28.0,113.0,27.0,22.0,132.0,116.0,Manitoba,4680,North
308.0,237.0,237.0,324.0,220.0,293.0,641.0,721.0,Saskatchewan,4710,Regina--Moose Mountain
97.0,107.0,85.0,209.0,149.0,78.0,350.0,312.0,Saskatchewan,4720,Swift Current--Moose Jaw
284.0,283.0,351.0,331.0,301.0,365.0,689.0,953.0,Saskatchewan,4730,Saskatoon--Biggar
117.0,126.0,91.0,177.0,145.0,98.0,193.0,282.0,Saskatchewan,4740,Yorkton--Melville
281.0,308.0,289.0,385.0,345.0,353.0,532.0,810.0,Saskatchewan,4750,Prince Albert
10.0,6.0,10.0,8.0,2.0,4.0,18.0,9.0,Saskatchewan,4760,Northern
1463.0,1448.0,1280.0,1666.0,1439.0,1580.0,2191.0,2722.0,Alberta,4810,Lethbridge--Medicine Hat
499.0,477.0,531.0,610.0,452.0,575.0,1116.0,1176.0,Alberta,4820,Camrose--Drumheller
2853.0,2401.0,2342.0,3541.0,2160.0,2177.0,7063.0,8983.0,Alberta,4830,Calgary
343.0,368.0,353.0,626.0,308.0,341.0,1298.0,948.0,Alberta,4840,Banff--Jasper--Rocky Mountain House
395.0,442.0,456.0,507.0,417.0,428.0,1177.0,1143.0,Alberta,4850,Red Deer
3300.0,2822.0,2563.0,4210.0,2244.0,2763.0,8063.0,9449.0,Alberta,4860,Edmonton
680.0,767.0,783.0,1127.0,632.0,803.0,1585.0,1716.0,Alberta,4870,Athabasca--Grande Prairie--Peace River
531.0,610.0,514.0,536.0,414.0,407.0,856.0,900.0,Alberta,4880,Wood Buffalo--Cold Lake
1491.0,892.0,916.0,1302.0,1278.0,1573.0,3281.0,3121.0,British Columbia,5910,Vancouver Island and Coast
13310.0,16153.0,19701.0,22890.0,21178.0,20722.0,31660.0,35183.0,British Columbia,5920,Lower Mainland--Southwest
4243.0,4420.0,6830.0,6299.0,6949.0,6882.0,9487.0,11694.0,British Columbia,5930,Thompson--Okanagan
224.0,242.0,459.0,446.0,599.0,479.0,1162.0,1660.0,British Columbia,5940,Kootenay
156.0,151.0,265.0,446.0,326.0,245.0,518.0,584.0,British Columbia,5950,Cariboo
61.0,40.0,86.0,164.0,119.0,155.0,357.0,309.0,British Columbia,5960,North Coast
28.0,28.0,36.0,111.0,73.0,128.0,244.0,182.0,British Columbia,5970,Nechako
78.0,113.0,136.0,255.0,110.0,227.0,441.0,435.0,British Columbia,5980,Northeast
107.0,119.0,107.0,139.0,40.0,126.0,157.0,136.0,Yukon,6010,Yukon
64.0,46.0,21.0,56.0,29.0,30.0,132.0,124.0,Northwest Territories,6110,Northwest Territories
145.0,41.0,132.0,133.0,46.0,63.0,88.0,122.0,Nunavut,6210,Nunavut
