province_region,occupation,skill_level,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management Occupations,0,1913.0,1752.0,1508.0,2245.0,2721.0,2608.0,4041.0,4663.0
Canada,Professionals,A,4554.0,3835.0,4293.0,5901.0,5095.0,6445.0,11388.0,8970.0
Canada,Skilled and Technical,B,19094.0,19454.0,18980.0,29411.0,26303.0,27517.0,62999.0,67068.0
Canada,Intermediate and Clerical,C,61572.0,69152.0,79759.0,85308.0,82967.0,88146.0,116274.0,127850.0
Canada,Elemental and Labourers,D,3181.0,3953.0,4448.0,7587.0,8187.0,8479.0,28140.0,31084.0
Newfoundland and Labrador,Management Occupations,0,75.0,34.0,14.0,9.0,17.0,23.0,11.0,14.0
Newfoundland and Labrador,Professionals,A,147.0,84.0,21.0,55.0,43.0,48.0,45.0,54.0
Newfoundland and Labrador,Skilled and Technical,B,1126.0,787.0,321.0,308.0,529.0,401.0,561.0,387.0
Newfoundland and Labrador,Intermediate and Clerical,C,333.0,301.0,119.0,110.0,180.0,199.0,493.0,701.0
Newfoundland and Labrador,Elemental and Labourers,D,60.0,11.0,2.0,13.0,158.0,23.0,343.0,512.0
Prince Edward Island,Management Occupations,0,9.0,4.0,4.0,3.0,9.0,7.0,4.0,6.0
Prince Edward Island,Professionals,A,42.0,11.0,2.0,5.0,6.0,3.0,8.0,4.0
Prince Edward Island,Skilled and Technical,B,53.0,57.0,22.0,48.0,50.0,51.0,140.0,120.0
Prince Edward Island,Intermediate and Clerical,C,795.0,962.0,980.0,1107.0,1641.0,1356.0,1962.0,1372.0
Prince Edward Island,Elemental and Labourers,D,47.0,22.0,4.0,16.0,18.0,87.0,177.0,209.0
Nova Scotia,Management Occupations,0,52.0,60.0,43.0,42.0,48.0,44.0,56.0,54.0
Nova Scotia,Professionals,A,130.0,70.0,65.0,63.0,55.0,119.0,163.0,97.0
Nova Scotia,Skilled and Technical,B,412.0,284.0,188.0,244.0,190.0,244.0,677.0,664.0
Nova Scotia,Intermediate and Clerical,C,1762.0,2176.0,3024.0,2340.0,2783.0,3454.0,4129.0,3596.0
Nova Scotia,Elemental and Labourers,D,100.0,113.0,74.0,134.0,183.0,300.0,567.0,1025.0
New Brunswick,Management Occupations,0,10.0,9.0,4.0,6.0,13.0,13.0,32.0,32.0
New Brunswick,Professionals,A,35.0,29.0,8.0,22.0,12.0,23.0,51.0,35.0
New Brunswick,Skilled and Technical,B,285.0,169.0,117.0,206.0,160.0,311.0,542.0,540.0
New Brunswick,Intermediate and Clerical,C,1128.0,1516.0,1208.0,1599.0,2649.0,2501.0,5448.0,3627.0
New Brunswick,Elemental and Labourers,D,13.0,77.0,24.0,141.0,52.0,167.0,1065.0,780.0
Quebec,Management Occupations,0,132.0,129.0,151.0,197.0,201.0,220.0,487.0,593.0
Quebec,Professionals,A,1038.0,982.0,1435.0,2433.0,2026.0,2581.0,4675.0,3707.0
