Province_Region,Occupation,Skill_Type_Classification,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management occupations,0,1913.0,1752.0,1508.0,2245.0,2721.0,2608.0,4041.0,4663.0
Canada,"Business, finance and administration occupations",1,1101.0,1214.0,1175.0,2581.0,2982.0,2619.0,7281.0,10789.0
Canada,Natural and applied sciences and related occupations,2,4124.0,3974.0,4136.0,5629.0,4544.0,5814.0,10621.0,8101.0
Canada,Health occupations,3,666.0,509.0,447.0,932.0,1238.0,1389.0,3151.0,4336.0
Canada,"Occupations in education, law and social, community and government services",4,6867.0,7533.0,9121.0,7332.0,4589.0,5611.0,5446.0,6055.0
Canada,"Occupations in art, culture, recreation and sport",5,4536.0,3035.0,2719.0,2673.0,1249.0,1399.0,2738.0,2345.0
Canada,Sales and service occupations,6,7906.0,8899.0,8705.0,15361.0,13044.0,13972.0,40715.0,48549.0
Canada,"Trades, transport and equipment operators and related occupations",7,6450.0,6945.0,7270.0,14733.0,12699.0,12734.0,32614.0,33981.0
Canada,"Natural resources, agriculture and related production occupations",8,54597.0,60808.0,70066.0,73170.0,73412.0,78144.0,92118.0,103706.0
Canada,Occupations in manufacturing and utilities,9,2154.0,3477.0,3841.0,5796.0,8795.0,8905.0,24117.0,17110.0
Newfoundland and Labrador,Management occupations,0,75.0,34.0,14.0,9.0,17.0,23.0,11.0,14.0
Newfoundland and Labrador,"Business, finance and administration occupations",1,16.0,6.0,5.0,6.0,14.0,18.0,11.0,18.0
Newfoundland and Labrador,Natural and applied sciences and related occupations,2,707.0,469.0,117.0,196.0,185.0,166.0,206.0,136.0
Newfoundland and Labrador,Health occupations,3,28.0,10.0,8.0,13.0,31.0,18.0,15.0,23.0
Newfoundland and Labrador,"Occupations in education, law and social, community and government services",4,25.0,13.0,11.0,7.0,4.0,1.0,6.0,6.0
Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",5,11.0,9.0,1.0,6.0,2.0,1.0,0.0,1.0
Newfoundland and Labrador,Sales and service occupations,6,173.0,83.0,49.0,50.0,38.0,85.0,136.0,192.0
Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",7,584.0,402.0,129.0,98.0,373.0,242.0,267.0,120.0
Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",8,70.0,103.0,85.0,93.0,111.0,113.0,218.0,266.0
Newfoundland and Labrador,Occupations in manufacturing and utilities,9,52.0,88.0,58.0,17.0,152.0,27.0,583.0,892.0
Prince Edward Island,Management occupations,0,9.0,4.0,4.0,3.0,9.0,7.0,4.0,6.0
Prince Edward Island,"Business, finance and administration occupations",1,1.0,1.0,0.0,1.0,0.0,2.0,2.0,7.0
Prince Edward Island,Natural and applied sciences and related occupations,2,32.0,13.0,2.0,1.0,4.0,2.0,5.0,5.0
Prince Edward Island,Health occupations,3,4.0,4.0,0.0,5.0,4.0,1.0,4.0,8.0
Prince Edward Island,"Occupations in education, law and social, community and government services",4,6.0,3.0,4.0,5.0,0.0,3.0,2.0,2.0
Prince Edward Island,"Occupations in art, culture, recreation and sport",5,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Prince Edward Island,Sales and service occupations,6,11.0,14.0,8.0,14.0,10.0,16.0,120.0,75.0
Prince Edward Island,"Trades, transport and equipment operators and related occupations",7,68.0,105.0,114.0,86.0,62.0,67.0,125.0,106.0
Prince Edward Island,"Natural resources, agriculture and related production occupations",8,358.0,418.0,406.0,526.0,754.0,514.0,687.0,761.0
Prince Edward Island,Occupations in manufacturing and utilities,9,449.0,493.0,474.0,537.0,881.0,892.0,1341.0,741.0
Nova Scotia,Management occupations,0,52.0,60.0,43.0,42.0,48.0,44.0,56.0,54.0
Nova Scotia,"Business, finance and administration occupations",1,12.0,7.0,8.0,6.0,5.0,18.0,47.0,79.0
Nova Scotia,Natural and applied sciences and related occupations,2,229.0,92.0,46.0,99.0,62.0,119.0,158.0,84.0
Nova Scotia,Health occupations,3,27.0,11.0,11.0,5.0,8.0,7.0,11.0,17.0
