Program_Stream,2016,2017,2018,2019,2020,2021,2022,2023,Province_Region
High-wage,13085.0,12198.0,9438.0,15257.0,13372.0,12898.0,26244.0,28055.0,Canada
Low-wage,12016.0,13692.0,14887.0,18066.0,14723.0,16171.0,35483.0,44992.0,Canada
Primary Agriculture,8203.0,8192.0,9264.0,10787.0,10966.0,11973.0,14422.0,14547.0,Canada
Global Talent Stream,0.0,722.0,2668.0,3967.0,3114.0,4860.0,7971.0,4467.0,Canada
Permanent Resident Only,2162.0,1018.0,845.0,1067.0,2032.0,1255.0,1394.0,4098.0,Canada
Unspecified,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada
High-wage,1112.0,950.0,236.0,253.0,415.0,305.0,399.0,311.0,Newfoundland and Labrador
Low-wage,116.0,65.0,40.0,37.0,38.0,54.0,97.0,124.0,Newfoundland and Labrador
Primary Agriculture,9.0,13.0,16.0,21.0,24.0,17.0,25.0,28.0,Newfoundland and Labrador
Global Talent Stream,0.0,0.0,2.0,11.0,2.0,9.0,3.0,6.0,Newfoundland and Labrador
Permanent Resident Only,3.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,Newfoundland and Labrador
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newfoundland and Labrador
High-wage,64.0,48.0,12.0,18.0,15.0,19.0,26.0,33.0,Prince Edward Island
Low-wage,27.0,26.0,28.0,34.0,31.0,33.0,105.0,86.0,Prince Edward Island
Primary Agriculture,63.0,66.0,73.0,74.0,92.0,97.0,127.0,128.0,Prince Edward Island
Global Talent Stream,0.0,0.0,1.0,2.0,8.0,3.0,5.0,3.0,Prince Edward Island
Permanent Resident Only,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Prince Edward Island
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prince Edward Island
High-Wage,452.0,304.0,170.0,190.0,135.0,149.0,190.0,234.0,Nova Scotia
Low-Wage,84.0,91.0,79.0,83.0,100.0,146.0,402.0,571.0,Nova Scotia
Primary Agriculture,161.0,169.0,198.0,188.0,218.0,218.0,271.0,276.0,Nova Scotia
Global Talent,0.0,5.0,7.0,27.0,31.0,99.0,133.0,68.0,Nova Scotia
Permanent Resident Only,3.0,1.0,2.0,0.0,3.0,2.0,10.0,7.0,Nova Scotia
