province_territory,2016,2017,2018,2019,2020,2021,2022,2023,region_code,region_name,noc_code,occupational_skill_type
Newfoundland and Labrador,16.0,10.0,8.0,7.0,0.0,3.0,2.0,2.0,1010,Avalon Peninsula,0,Management occupations
Newfoundland and Labrador,0.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,1010,Avalon Peninsula,1,"Business, finance and administration occupations"
Newfoundland and Labrador,77.0,26.0,8.0,28.0,4.0,15.0,6.0,8.0,1010,Avalon Peninsula,2,Natural and applied sciences and related occupations
Newfoundland and Labrador,1.0,1.0,1.0,1.0,6.0,2.0,1.0,6.0,1010,Avalon Peninsula,3,Health occupations
Newfoundland and Labrador,21.0,9.0,9.0,6.0,3.0,1.0,5.0,2.0,1010,Avalon Peninsula,4,"Occupations in education, law and social, community and government services"
Newfoundland and Labrador,8.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1010,Avalon Peninsula,5,"Occupations in art, culture, recreation and sport"
Newfoundland and Labrador,37.0,18.0,15.0,22.0,9.0,7.0,53.0,94.0,1010,Avalon Peninsula,6,Sales and service occupations
Newfoundland and Labrador,24.0,19.0,23.0,1.0,9.0,3.0,17.0,8.0,1010,Avalon Peninsula,7,"Trades, transport and equipment operators and related occupations"
Newfoundland and Labrador,34.0,21.0,24.0,28.0,46.0,37.0,52.0,45.0,1010,Avalon Peninsula,8,"Natural resources, agriculture and related production occupations"
Newfoundland and Labrador,1.0,37.0,58.0,4.0,0.0,5.0,447.0,670.0,1010,Avalon Peninsula,9,Occupations in manufacturing and utilities
Newfoundland and Labrador,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1020,South Coast--Burin Peninsula,0,Management occupations
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,South Coast--Burin Peninsula,1,"Business, finance and administration occupations"
Newfoundland and Labrador,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,1020,South Coast--Burin Peninsula,2,Natural and applied sciences and related occupations
Newfoundland and Labrador,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,1020,South Coast--Burin Peninsula,3,Health occupations
Newfoundland and Labrador,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1020,South Coast--Burin Peninsula,4,"Occupations in education, law and social, community and government services"
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,South Coast--Burin Peninsula,5,"Occupations in art, culture, recreation and sport"
Newfoundland and Labrador,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1020,South Coast--Burin Peninsula,6,Sales and service occupations
Newfoundland and Labrador,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1020,South Coast--Burin Peninsula,7,"Trades, transport and equipment operators and related occupations"
Newfoundland and Labrador,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,South Coast--Burin Peninsula,8,"Natural resources, agriculture and related production occupations"
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,22.0,49.0,1020,South Coast--Burin Peninsula,9,Occupations in manufacturing and utilities
Newfoundland and Labrador,3.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1030,West Coast--Northern Peninsula--Labrador,0,Management occupations
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1030,West Coast--Northern Peninsula--Labrador,1,"Business, finance and administration occupations"
Newfoundland and Labrador,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1030,West Coast--Northern Peninsula--Labrador,2,Natural and applied sciences and related occupations
Newfoundland and Labrador,13.0,7.0,1.0,5.0,9.0,2.0,4.0,8.0,1030,West Coast--Northern Peninsula--Labrador,3,Health occupations
Newfoundland and Labrador,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1030,West Coast--Northern Peninsula--Labrador,4,"Occupations in education, law and social, community and government services"
Newfoundland and Labrador,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1030,West Coast--Northern Peninsula--Labrador,5,"Occupations in art, culture, recreation and sport"
Newfoundland and Labrador,18.0,8.0,23.0,18.0,7.0,26.0,48.0,36.0,1030,West Coast--Northern Peninsula--Labrador,6,Sales and service occupations
Newfoundland and Labrador,3.0,3.0,6.0,3.0,0.0,3.0,7.0,11.0,1030,West Coast--Northern Peninsula--Labrador,7,"Trades, transport and equipment operators and related occupations"
Newfoundland and Labrador,8.0,13.0,18.0,12.0,19.0,21.0,36.0,44.0,1030,West Coast--Northern Peninsula--Labrador,8,"Natural resources, agriculture and related production occupations"
Newfoundland and Labrador,0.0,1.0,0.0,0.0,10.0,0.0,13.0,45.0,1030,West Coast--Northern Peninsula--Labrador,9,Occupations in manufacturing and utilities
Newfoundland and Labrador,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,1040,Notre Dame--Central Bonavista Bay,0,Management occupations
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1040,Notre Dame--Central Bonavista Bay,1,"Business, finance and administration occupations"
Newfoundland and Labrador,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1040,Notre Dame--Central Bonavista Bay,2,Natural and applied sciences and related occupations
Newfoundland and Labrador,9.0,1.0,3.0,5.0,11.0,12.0,10.0,7.0,1040,Notre Dame--Central Bonavista Bay,3,Health occupations
Newfoundland and Labrador,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1040,Notre Dame--Central Bonavista Bay,4,"Occupations in education, law and social, community and government services"
Newfoundland and Labrador,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1040,Notre Dame--Central Bonavista Bay,5,"Occupations in art, culture, recreation and sport"
Newfoundland and Labrador,3.0,3.0,0.0,1.0,1.0,6.0,20.0,26.0,1040,Notre Dame--Central Bonavista Bay,6,Sales and service occupations
Newfoundland and Labrador,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1040,Notre Dame--Central Bonavista Bay,7,"Trades, transport and equipment operators and related occupations"
Newfoundland and Labrador,2.0,3.0,2.0,18.0,16.0,20.0,21.0,32.0,1040,Notre Dame--Central Bonavista Bay,8,"Natural resources, agriculture and related production occupations"
Newfoundland and Labrador,0.0,0.0,0.0,12.0,10.0,18.0,99.0,86.0,1040,Notre Dame--Central Bonavista Bay,9,Occupations in manufacturing and utilities
Prince Edward Island,9.0,4.0,4.0,3.0,9.0,7.0,4.0,6.0,1110,Prince Edward Island,0,Management occupations
Prince Edward Island,1.0,1.0,0.0,1.0,0.0,2.0,2.0,7.0,1110,Prince Edward Island,1,"Business, finance and administration occupations"
Prince Edward Island,32.0,13.0,2.0,1.0,4.0,2.0,5.0,5.0,1110,Prince Edward Island,2,Natural and applied sciences and related occupations
Prince Edward Island,4.0,4.0,0.0,5.0,4.0,1.0,4.0,8.0,1110,Prince Edward Island,3,Health occupations
Prince Edward Island,6.0,3.0,4.0,5.0,0.0,3.0,2.0,2.0,1110,Prince Edward Island,4,"Occupations in education, law and social, community and government services"
Prince Edward Island,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1110,Prince Edward Island,5,"Occupations in art, culture, recreation and sport"
Prince Edward Island,11.0,14.0,8.0,14.0,10.0,16.0,120.0,75.0,1110,Prince Edward Island,6,Sales and service occupations
Prince Edward Island,68.0,105.0,114.0,86.0,62.0,67.0,125.0,106.0,1110,Prince Edward Island,7,"Trades, transport and equipment operators and related occupations"
Prince Edward Island,358.0,418.0,406.0,526.0,754.0,514.0,687.0,761.0,1110,Prince Edward Island,8,"Natural resources, agriculture and related production occupations"
Prince Edward Island,449.0,493.0,474.0,537.0,881.0,892.0,1341.0,741.0,1110,Prince Edward Island,9,Occupations in manufacturing and utilities
Nova Scotia,0.0,0.0,0.0,1.0,2.0,1.0,4.0,7.0,1210,Cape Breton,0,Management occupations
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1210,Cape Breton,1,"Business, finance and administration occupations"
Nova Scotia,12.0,3.0,3.0,4.0,0.0,0.0,5.0,0.0,1210,Cape Breton,2,Natural and applied sciences and related occupations
Nova Scotia,8.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1210,Cape Breton,3,Health occupations
Nova Scotia,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1210,Cape Breton,4,"Occupations in education, law and social, community and government services"
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210,Cape Breton,5,"Occupations in art, culture, recreation and sport"
Nova Scotia,9.0,6.0,8.0,8.0,1.0,5.0,14.0,125.0,1210,Cape Breton,6,Sales and service occupations
Nova Scotia,11.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,1210,Cape Breton,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1210,Cape Breton,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,38.0,94.0,73.0,56.0,155.0,187.0,312.0,230.0,1210,Cape Breton,9,Occupations in manufacturing and utilities
Nova Scotia,4.0,2.0,2.0,4.0,1.0,0.0,7.0,6.0,1220,North Shore,0,Management occupations
Nova Scotia,3.0,4.0,0.0,4.0,0.0,1.0,8.0,6.0,1220,North Shore,1,"Business, finance and administration occupations"
Nova Scotia,5.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,1220,North Shore,2,Natural and applied sciences and related occupations
Nova Scotia,8.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1220,North Shore,3,Health occupations
Nova Scotia,2.0,2.0,2.0,3.0,6.0,3.0,0.0,3.0,1220,North Shore,4,"Occupations in education, law and social, community and government services"
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220,North Shore,5,"Occupations in art, culture, recreation and sport"
Nova Scotia,11.0,6.0,2.0,15.0,14.0,14.0,69.0,122.0,1220,North Shore,6,Sales and service occupations
Nova Scotia,12.0,4.0,18.0,0.0,0.0,10.0,20.0,27.0,1220,North Shore,7,"Trades, transport and equipment operators and related occupations"
Nova Scotia,326.0,431.0,955.0,488.0,489.0,558.0,887.0,635.0,1220,North Shore,8,"Natural resources, agriculture and related production occupations"
Nova Scotia,75.0,126.0,90.0,148.0,191.0,453.0,399.0,156.0,1220,North Shore,9,Occupations in manufacturing and utilities
Nova Scotia,3.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,1230,Annapolis Valley,0,Management occupations
