province_region,occupation,skill_level,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management Occupations,0,1834.0,1701.0,1452.0,2180.0,2646.0,2569.0,3894.0,4460.0
Canada,Professionals,A,4121.0,3385.0,3947.0,5423.0,4856.0,6134.0,10641.0,8393.0
Canada,Skilled and Technical,B,14205.0,14716.0,13239.0,21375.0,19654.0,19318.0,41203.0,46485.0
Canada,Intermediate and Clerical,C,14667.0,15402.0,17873.0,18568.0,15594.0,17539.0,22966.0,25603.0
Canada,Elemental and Labourers,D,652.0,620.0,591.0,1597.0,1455.0,1596.0,6805.0,11207.0
Newfoundland and Labrador,Management Occupations,0,67.0,34.0,14.0,9.0,16.0,22.0,10.0,13.0
Newfoundland and Labrador,Professionals,A,131.0,83.0,21.0,34.0,41.0,41.0,41.0,48.0
Newfoundland and Labrador,Skilled and Technical,B,813.0,715.0,220.0,225.0,328.0,249.0,353.0,261.0
Newfoundland and Labrador,Intermediate and Clerical,C,217.0,188.0,37.0,53.0,88.0,67.0,74.0,93.0
Newfoundland and Labrador,Elemental and Labourers,D,12.0,11.0,2.0,2.0,6.0,7.0,46.0,56.0
Prince Edward Island,Management Occupations,0,8.0,4.0,3.0,3.0,9.0,6.0,3.0,5.0
Prince Edward Island,Professionals,A,41.0,11.0,2.0,5.0,6.0,3.0,8.0,3.0
Prince Edward Island,Skilled and Technical,B,24.0,34.0,12.0,26.0,20.0,26.0,67.0,67.0
Prince Edward Island,Intermediate and Clerical,C,73.0,87.0,95.0,92.0,109.0,110.0,155.0,135.0
Prince Edward Island,Elemental and Labourers,D,8.0,4.0,2.0,3.0,2.0,7.0,30.0,41.0
Nova Scotia,Management Occupations,0,52.0,59.0,42.0,40.0,47.0,42.0,54.0,53.0
Nova Scotia,Professionals,A,118.0,68.0,62.0,58.0,53.0,112.0,152.0,90.0
Nova Scotia,Skilled and Technical,B,320.0,201.0,112.0,157.0,127.0,145.0,353.0,407.0
Nova Scotia,Intermediate and Clerical,C,195.0,222.0,228.0,218.0,234.0,276.0,352.0,377.0
Nova Scotia,Elemental and Labourers,D,15.0,20.0,12.0,15.0,26.0,39.0,94.0,228.0
New Brunswick,Management Occupations,0,10.0,9.0,4.0,6.0,13.0,13.0,29.0,30.0
New Brunswick,Professionals,A,35.0,29.0,8.0,19.0,12.0,22.0,47.0,27.0
New Brunswick,Skilled and Technical,B,252.0,147.0,99.0,135.0,130.0,171.0,313.0,300.0
New Brunswick,Intermediate and Clerical,C,152.0,134.0,133.0,131.0,142.0,191.0,277.0,256.0
New Brunswick,Elemental and Labourers,D,4.0,8.0,6.0,17.0,14.0,25.0,115.0,163.0
Quebec,Management Occupations,0,132.0,129.0,151.0,193.0,197.0,217.0,453.0,530.0
Quebec,Professionals,A,1025.0,966.0,1407.0,2281.0,1949.0,2514.0,4607.0,3637.0
Quebec,Skilled and Technical,B,1534.0,1352.0,1535.0,2611.0,2667.0,2480.0,8666.0,10532.0
Quebec,Intermediate and Clerical,C,3660.0,3244.0,3716.0,5728.0,5793.0,6614.0,10149.0,10563.0
Quebec,Elemental and Labourers,D,204.0,217.0,234.0,499.0,771.0,614.0,2536.0,2780.0
Ontario,Management Occupations,0,584.0,567.0,585.0,784.0,1005.0,997.0,1532.0,2181.0
Ontario,Professionals,A,1238.0,1116.0,1277.0,1657.0,1506.0,1855.0,3299.0,2828.0
Ontario,Skilled and Technical,B,2571.0,3099.0,2998.0,4458.0,5686.0,4595.0,9514.0,14207.0
Ontario,Intermediate and Clerical,C,5612.0,6247.0,6993.0,5968.0,4664.0,5489.0,5734.0,6838.0
Ontario,Elemental and Labourers,D,42.0,82.0,108.0,126.0,157.0,317.0,869.0,1798.0
Manitoba,Management Occupations,0,12.0,13.0,20.0,37.0,23.0,27.0,45.0,55.0
Manitoba,Professionals,A,56.0,46.0,63.0,50.0,44.0,95.0,121.0,100.0
Manitoba,Skilled and Technical,B,112.0,128.0,160.0,200.0,177.0,251.0,691.0,920.0
Manitoba,Intermediate and Clerical,C,118.0,129.0,156.0,250.0,229.0,224.0,376.0,410.0
Manitoba,Elemental and Labourers,D,10.0,8.0,8.0,14.0,6.0,18.0,113.0,269.0
