Province_Region,Occupation,Skill_Type_Classification,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management occupations,0.0,1834.0,1701.0,1452.0,2180.0,2646.0,2569.0,3894.0,4460.0
Canada,"Business, finance and administration occupations",1.0,1065.0,1196.0,1153.0,2492.0,2887.0,2499.0,6739.0,10035.0
Canada,Natural and applied sciences and related occupations,2.0,3350.0,3238.0,3465.0,5003.0,4200.0,5360.0,9419.0,7204.0
Canada,Health occupations,3.0,617.0,478.0,401.0,682.0,869.0,972.0,1778.0,2552.0
Canada,"Occupations in education, law and social, community and government services",4.0,6797.0,7458.0,9003.0,7153.0,4451.0,5515.0,5142.0,5467.0
Canada,"Occupations in art, culture, recreation and sport",5.0,4132.0,2777.0,2378.0,2377.0,1172.0,1296.0,2482.0,2095.0
Canada,Sales and service occupations,6.0,6013.0,6841.0,6286.0,11271.0,9987.0,9894.0,24417.0,31142.0
Canada,"Trades, transport and equipment operators and related occupations",7.0,3090.0,3447.0,3131.0,6143.0,5607.0,5719.0,13286.0,14689.0
Canada,"Natural resources, agriculture and related production occupations",8.0,8332.0,8344.0,9430.0,11037.0,11243.0,12192.0,15146.0,15252.0
Canada,Occupations in manufacturing and utilities,9.0,249.0,344.0,403.0,805.0,1143.0,1140.0,3206.0,3252.0
Canada,0,0.0,35479.0,35824.0,37102.0,49144.0,44207.0,47157.0,85514.0,96159.0
Newfoundland and Labrador,Management occupations,0.0,67.0,34.0,14.0,9.0,16.0,22.0,10.0,13.0
Newfoundland and Labrador,"Business, finance and administration occupations",1.0,14.0,6.0,5.0,4.0,13.0,11.0,9.0,16.0
Newfoundland and Labrador,Natural and applied sciences and related occupations,2.0,567.0,453.0,98.0,143.0,158.0,142.0,151.0,108.0
Newfoundland and Labrador,Health occupations,3.0,27.0,10.0,8.0,13.0,29.0,17.0,15.0,19.0
Newfoundland and Labrador,"Occupations in education, law and social, community and government services",4.0,25.0,13.0,11.0,7.0,4.0,1.0,4.0,5.0
