Occupational_Skill_Level,2016,2017,2018,2019,2020,2021,2022,2023,Region_Code,Region_Name
0,16,10,8,7,0,3,2,2,1010,Avalon Peninsula 
A ,31,8,8,24,12,11,5,8,1010,Avalon Peninsula 
B ,129,62,50,45,21,24,71,52,1010,Avalon Peninsula 
C ,43,64,86,25,46,30,295,403,1010,Avalon Peninsula 
D ,0,0,0,0,0,6,210,375,1010,Avalon Peninsula 
0,0,1,1,0,0,1,2,2,1020,South Coast--Burin Peninsula 
A ,0,0,3,2,2,1,0,3,1020,South Coast--Burin Peninsula 
B ,0,8,0,1,0,0,9,1,1020,South Coast--Burin Peninsula 
C ,1,0,0,0,0,2,25,50,1020,South Coast--Burin Peninsula 
D ,0,0,0,0,0,0,0,5,1020,South Coast--Burin Peninsula 
0,3,0,5,0,0,1,0,1,1030,West Coast--Northern Peninsula--Labrador 
A ,16,7,3,5,9,2,4,8,1030,West Coast--Northern Peninsula--Labrador 
B ,20,13,34,24,15,36,33,38,1030,West Coast--Northern Peninsula--Labrador 
C ,10,13,14,10,11,12,44,74,1030,West Coast--Northern Peninsula--Labrador 
D ,0,1,0,0,10,2,27,30,1030,West Coast--Northern Peninsula--Labrador 
0,0,1,0,0,0,2,2,5,1040,Notre Dame--Central Bonavista Bay 
A ,11,1,4,6,11,13,10,7,1040,Notre Dame--Central Bonavista Bay 
B ,6,9,2,5,3,7,23,15,1040,Notre Dame--Central Bonavista Bay 
C ,1,1,1,17,14,37,61,85,1040,Notre Dame--Central Bonavista Bay 
D ,0,0,0,12,10,0,57,50,1040,Notre Dame--Central Bonavista Bay 
0,9,4,4,3,9,7,4,6,1110,Prince Edward Island 
A ,42,11,2,5,6,3,8,4,1110,Prince Edward Island 
B ,53,57,22,48,50,51,140,120,1110,Prince Edward Island 
C ,795,962,980,1107,1641,1356,1962,1372,1110,Prince Edward Island 
D ,47,22,4,16,18,87,177,209,1110,Prince Edward Island 
0,0,0,0,1,2,1,4,7,1210,Cape Breton 
A ,8,5,1,1,1,0,5,0,1210,Cape Breton 
B ,37,12,17,8,2,4,12,42,1210,Cape Breton 
C ,29,73,72,58,136,150,315,87,1210,Cape Breton 
D ,23,19,2,1,20,40,1,249,1210,Cape Breton 
0,4,2,2,4,1,0,7,6,1220,North Shore 
A ,13,7,3,7,7,2,6,7,1220,North Shore 
B ,21,24,21,33,23,26,66,73,1220,North Shore 
C ,406,549,1032,615,672,1012,1238,746,1220,North Shore 
D ,2,0,15,6,1,0,76,124,1220,North Shore 
0,3,1,2,0,1,3,1,3,1230,Annapolis Valley 
A ,2,0,2,1,3,2,7,1,1230,Annapolis Valley 
B ,25,25,19,22,25,30,77,109,1230,Annapolis Valley 
C ,1135,1282,1651,1204,1551,1657,1759,1971,1230,Annapolis Valley 
D ,49,60,20,50,94,104,146,254,1230,Annapolis Valley 
0,1,4,0,1,1,2,3,1,1240,Southern 
A ,7,1,2,0,0,2,2,2,1240,Southern 
B ,9,2,7,4,5,58,94,53,1240,Southern 
C ,123,200,157,303,309,526,615,523,1240,Southern 
D ,15,20,30,73,64,125,204,194,1240,Southern 
