program_stream,2016,2017,2018,2019,2020,2021,2022,2023,province_region
High-Wage,5504.0,6006.0,5225.0,9935.0,8594.0,8623.0,15948.0,17309.0,Canada
Low-Wage,10220.0,11594.0,12547.0,15086.0,11379.0,12603.0,22687.0,28783.0,Canada
Primary Agriculture,3469.0,3821.0,4280.0,6434.0,4950.0,5217.0,5903.0,6297.0,Canada
Global Talent,0.0,297.0,735.0,1349.0,1139.0,1347.0,1807.0,1563.0,Canada
Permanent Resident Only,1794.0,910.0,741.0,967.0,1706.0,1090.0,1179.0,3133.0,Canada
Unspecified,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada
High-Wage,158.0,138.0,76.0,81.0,46.0,33.0,51.0,60.0,Newfoundland and Labrador
Low-Wage,63.0,38.0,30.0,32.0,26.0,31.0,62.0,73.0,Newfoundland and Labrador
Primary Agriculture,9.0,11.0,12.0,17.0,16.0,14.0,16.0,19.0,Newfoundland and Labrador
Global Talent,0.0,0.0,2.0,2.0,1.0,7.0,3.0,5.0,Newfoundland and Labrador
Permanent Resident Only,3.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,Newfoundland and Labrador
High-Wage,13.0,15.0,9.0,15.0,12.0,14.0,19.0,25.0,Prince Edward Island
Low-Wage,20.0,18.0,18.0,25.0,19.0,22.0,54.0,63.0,Prince Edward Island
Primary Agriculture,38.0,33.0,42.0,55.0,43.0,48.0,61.0,61.0,Prince Edward Island
Global Talent,0.0,0.0,1.0,2.0,7.0,2.0,4.0,3.0,Prince Edward Island
Permanent Resident Only,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Prince Edward Island
High-Wage,115.0,92.0,73.0,77.0,51.0,72.0,120.0,166.0,Nova Scotia
Low-Wage,73.0,75.0,68.0,72.0,77.0,104.0,254.0,353.0,Nova Scotia
Primary Agriculture,72.0,83.0,90.0,129.0,92.0,102.0,105.0,111.0,Nova Scotia
Global Talent,0.0,4.0,6.0,17.0,18.0,33.0,35.0,34.0,Nova Scotia
Permanent Resident Only,3.0,1.0,2.0,0.0,3.0,1.0,10.0,7.0,Nova Scotia
High-Wage,71.0,59.0,47.0,60.0,50.0,73.0,117.0,86.0,New Brunswick
Low-Wage,63.0,68.0,66.0,100.0,106.0,142.0,261.0,297.0,New Brunswick
Primary Agriculture,26.0,23.0,22.0,38.0,31.0,42.0,51.0,63.0,New Brunswick
Global Talent,0.0,0.0,3.0,8.0,6.0,12.0,14.0,10.0,New Brunswick
Permanent Resident Only,3.0,3.0,0.0,5.0,11.0,3.0,9.0,7.0,New Brunswick
High-Wage,841.0,891.0,877.0,1469.0,1836.0,1765.0,3677.0,3222.0,Quebec
Low-Wage,532.0,464.0,491.0,989.0,1392.0,1171.0,4923.0,7021.0,Quebec
Primary Agriculture,944.0,1055.0,1328.0,2631.0,1817.0,2147.0,2492.0,2570.0,Quebec
Global Talent,0.0,33.0,181.0,440.0,355.0,364.0,484.0,430.0,Quebec
Permanent Resident Only,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec
Unspecified,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec
High-Wage,1708.0,1969.0,1744.0,2828.0,2741.0,2588.0,4594.0,6234.0,Ontario
Low-Wage,3437.0,3872.0,4659.0,4311.0,3347.0,3958.0,5436.0,7964.0,Ontario
Primary Agriculture,1287.0,1415.0,1440.0,1872.0,1423.0,1457.0,1543.0,1590.0,Ontario
Global Talent,0.0,152.0,356.0,595.0,528.0,621.0,913.0,850.0,Ontario
Permanent Resident Only,745.0,550.0,397.0,579.0,1165.0,693.0,673.0,2053.0,Ontario
Unspecified,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
High-Wage,77.0,86.0,86.0,164.0,135.0,199.0,431.0,548.0,Manitoba
