Province/Territory,2016,2017,2018,2019,2020,2021,2022,2023,CSD_Code,CSD_Name
Newfoundland and Labrador,0,0,0,0,0,0,0,50,1001126,Cape Broyle
Newfoundland and Labrador,0,0,0,0,0,0,0,1,1001136,Fermeuse
Newfoundland and Labrador,0,0,0,0,0,0,10,21,1001144,Aquaforte
Newfoundland and Labrador,0,0,0,0,0,0,0,140,1001178,St. Mary's
Newfoundland and Labrador,0,12,6,0,0,0,0,0,1001197,Mount Carmel-Mitchells Brook-St. Catherine's
Newfoundland and Labrador,1,0,9,0,2,20,0,2,1001240,Placentia
Newfoundland and Labrador,0,0,0,0,0,0,0,8,1001267,Southern Harbour
Newfoundland and Labrador,5,0,0,19,18,1,1,8,1001270,Arnold's Cove
Newfoundland and Labrador,17,7,0,1,10,0,0,2,1001274,Come By Chance
Newfoundland and Labrador,0,0,2,0,0,0,0,0,1001277,Sunnyside
Newfoundland and Labrador,0,0,1,0,1,0,5,3,1001298,Whitbourne
Newfoundland and Labrador,0,2,2,0,8,0,6,0,1001304,"Division No. 1, Subd. E"
Newfoundland and Labrador,0,20,0,0,0,0,170,239,1001343,Old Perlican
Newfoundland and Labrador,0,50,50,0,130,0,237,180,1001347,Bay de Verde
Newfoundland and Labrador,1,0,1,0,3,1,2,5,1001370,Carbonear
Newfoundland and Labrador,2,0,0,1,1,0,0,0,1001379,Harbour Grace
Newfoundland and Labrador,0,0,0,0,0,0,8,0,1001396,Spaniard's Bay
Newfoundland and Labrador,5,0,0,1,0,0,0,20,1001409,Bay Roberts
Newfoundland and Labrador,0,0,0,0,0,0,12,15,1001415,"Division No. 1, Subd. L"
Newfoundland and Labrador,0,0,0,0,4,0,0,2,1001421,"Division No. 1, Subd. M"
Newfoundland and Labrador,0,0,0,0,0,4,0,0,1001452,"Division No. 1, Subd. O"
Newfoundland and Labrador,0,0,0,4,2,14,13,0,1001469,Harbour Main-Chapel's Cove-Lakeview
Newfoundland and Labrador,1,0,0,0,1,0,1,0,1001472,Holyrood
Newfoundland and Labrador,5,3,10,13,2,11,5,13,1001485,Conception Bay South
Newfoundland and Labrador,0,0,0,0,1,0,0,0,1001504,Portugal Cove-St. Philip's
Newfoundland and Labrador,2,0,1,0,0,0,0,8,1001509,Torbay
Newfoundland and Labrador,2,0,135,81,19,4,58,34,1001511,Logy Bay-Middle Cove-Outer Cove
