Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIAs) by Census subdivision (CSD) and Province/Territory,,,,,,,,,
Province/Territory,CSD,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,1001126-Cape Broyle,0,0,0,0,0,0,0,50
,1001136-Fermeuse,0,0,0,0,0,0,0,1
,1001144-Aquaforte,0,0,0,0,0,0,10,21
,1001178-St. Mary's,0,0,0,0,0,0,0,140
,1001197-Mount Carmel-Mitchells Brook-St. Catherine's,0,12,6,0,0,0,0,0
,1001240-Placentia,1,0,9,0,2,20,0,2
,1001267-Southern Harbour,0,0,0,0,0,0,0,8
,1001270-Arnold's Cove,5,0,0,19,18,1,1,8
,1001274-Come By Chance,17,7,0,1,10,0,0,2
,1001277-Sunnyside,0,0,2,0,0,0,0,0
,1001298-Whitbourne,0,0,1,0,1,0,5,3
,"1001304-Division No. 1, Subd. E",0,2,2,0,8,0,6,0
,1001343-Old Perlican,0,20,0,0,0,0,170,239
,1001347-Bay de Verde,0,50,50,0,130,0,237,180
,1001370-Carbonear,1,0,1,0,3,1,2,5
,1001379-Harbour Grace,2,0,0,1,1,0,0,0
,1001396-Spaniard's Bay,0,0,0,0,0,0,8,0
,1001409-Bay Roberts,5,0,0,1,0,0,0,20
,"1001415-Division No. 1, Subd. L",0,0,0,0,0,0,12,15
,"1001421-Division No. 1, Subd. M",0,0,0,0,4,0,0,2
,"1001452-Division No. 1, Subd. O",0,0,0,0,0,4,0,0
,1001469-Harbour Main-Chapel's Cove-Lakeview,0,0,0,4,2,14,13,0
,1001472-Holyrood,1,0,0,0,1,0,1,0
,1001485-Conception Bay South,5,3,10,13,2,11,5,13
,1001504-Portugal Cove-St. Philip's,0,0,0,0,1,0,0,0
,1001509-Torbay,2,0,1,0,0,0,0,8
,1001511-Logy Bay-Middle Cove-Outer Cove,2,0,135,81,19,4,58,34
,1001517-Paradise,2,2,1,5,1,5,10,3
,1001519-St. John's,126,75,87,208,273,503,575,440
,1001542-Mount Pearl,18,12,2,13,1,4,17,26
,1001551-Petty Harbour-Maddox Cove,0,0,0,0,0,0,0,1
,1001557-Bay Bulls,6,17,13,9,1,5,10,3
,1001559-Witless Bay,0,0,0,0,0,0,12,23
,1002005-Burin,0,0,3,2,2,0,1,4
,1002008-St. Lawrence,0,5,0,0,0,0,10,39
,1002012-Lamaline,0,0,8,0,0,0,0,0
,1002018-Fortune,0,0,12,0,0,0,0,1
,1002019-Grand Bank,0,0,0,15,3,0,0,0
,1002024-Marystown,1,1,1,0,0,3,13,5
,"1002031-Division No. 2, Subd. C",0,0,3,0,0,0,0,0
,1003004-Belleoram,0,0,0,0,6,0,5,0
,1003008-Harbour Breton,0,0,0,0,0,2,0,0
,1003011-Hermitage-Sandyville,0,0,0,0,0,0,12,12
,1003045-Rose Blanche-Harbour le Cou,0,0,0,7,0,0,0,0
,"1004006-Division No. 4, Subd. B",6,6,10,8,11,10,30,20
,1004019-Stephenville,3,1,0,0,1,1,1,6
,"1005001-Division No. 5, Subd. A",0,0,0,0,0,0,0,4
,1005004-Deer Lake,1,0,1,2,1,2,11,12
,1005014-Cormack,2,4,6,3,8,11,6,15
,1005018-Corner Brook,11,4,3,3,6,7,14,11
,1005020-Humber Arm South,0,0,0,0,0,0,0,12
,1005023-Cox's Cove,0,0,2,0,0,0,0,0
,1006009-Gander,3,2,3,5,9,9,9,21
,1006017-Grand Falls-Windsor,4,0,2,16,13,14,13,11
,1006019-Bishop's Falls,0,0,0,0,0,0,2,6
,"1007006-Division No. 7, Subd. L",0,0,0,0,0,0,40,46
,1007013-Clarenville,2,4,0,3,2,4,6,6
,"1007031-Division No. 7, Subd. E",0,5,0,0,2,6,3,5
,1007032-Musgravetown,2,2,2,2,2,0,25,0
,1007044-Glovertown,0,0,0,12,10,15,24,2
,1007050-Centreville-Wareham-Trinity,0,0,0,0,0,4,5,0
,1008024-Change Islands,0,0,16,0,0,0,0,0
,1008039-Comfort Cove-Newstead,0,0,0,0,0,4,0,4
,"1008042-Division No. 8, Subd. F",0,1,0,0,0,0,1,0
,1008054-Triton,0,0,0,0,0,0,10,15
,1008061-Springdale,2,0,0,0,0,3,7,14
