"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC) skill type, and province/territory",,,,,,,,
,,,,,,,,
Canada,,,,,,,,
,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,"1,913","1,752","1,508","2,245","2,721","2,608","4,041","4,663"
"1 - Business, finance and administration occupations ","1,101","1,214","1,175","2,581","2,982","2,619","7,281","10,789"
2 - Natural and applied sciences and related occupations ,"4,124","3,974","4,136","5,629","4,544","5,814","10,621","8,101"
3 - Health occupations ,666,509,447,932,"1,238","1,389","3,151","4,336"
"4 - Occupations in education, law and social, community and government services ","6,867","7,533","9,121","7,332","4,589","5,611","5,446","6,055"
"5 - Occupations in art, culture, recreation and sport ","4,536","3,035","2,719","2,673","1,249","1,399","2,738","2,345"
6 - Sales and service occupations ,"7,906","8,899","8,705","15,361","13,044","13,972","40,715","48,549"
"7 - Trades, transport and equipment operators and related occupations ","6,450","6,945","7,270","14,733","12,699","12,734","32,614","33,981"
"8 - Natural resources, agriculture and related production occupations ","54,597","60,808","70,066","73,170","73,412","78,144","92,118","103,706"
9 - Occupations in manufacturing and utilities ,"2,154","3,477","3,841","5,796","8,795","8,905","24,117","17,110"
Canada - Total,"90,314","98,146","108,988","130,457","125,279","133,196","222,847","239,646"
Newfoundland and Labrador,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,75,34,14,9,17,23,11,14
"1 - Business, finance and administration occupations ",16,6,5,6,14,18,11,18
2 - Natural and applied sciences and related occupations ,707,469,117,196,185,166,206,136
3 - Health occupations ,28,10,8,13,31,18,15,23
"4 - Occupations in education, law and social, community and government services ",25,13,11,7,4,1,6,6
"5 - Occupations in art, culture, recreation and sport ",11,9,1,6,2,1,0,1
6 - Sales and service occupations ,173,83,49,50,38,85,136,192
"7 - Trades, transport and equipment operators and related occupations ",584,402,129,98,373,242,267,120
"8 - Natural resources, agriculture and related production occupations ",70,103,85,93,111,113,218,266
9 - Occupations in manufacturing and utilities ,52,88,58,17,152,27,583,892
Newfoundland and Labrador - Total,"1,741","1,217",477,495,927,694,"1,453","1,668"
Prince Edward Island,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,9,4,4,3,9,7,4,6
"1 - Business, finance and administration occupations ",1,1,0,1,0,2,2,7
