Number of Positive Labour Market Impact Assessments (LMIAs) by Program Stream and Province / Territory,,,,,,,,
Canada,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-wage              ,"13,085","12,198","9,438","15,257","13,372","12,898","26,244","28,055"
Low-wage               ,"12,016","13,692","14,887","18,066","14,723","16,171","35,483","44,992"
Primary Agriculture    ,"8,203","8,192","9,264","10,787","10,966","11,973","14,422","14,547"
Global Talent Stream   ,0,722,"2,668","3,967","3,114","4,860","7,971","4,467"
Permanent Resident Only,"2,162","1,018",845,"1,067","2,032","1,255","1,394","4,098"
Unspecified            ,13,2,0,0,0,0,0,0
Canada Total,"35,479","35,824","37,102","49,144","44,207","47,157","85,514","96,159"
Newfoundland and Labrador,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-wage              ,"1,112",950,236,253,415,305,399,311
Low-wage               ,116,65,40,37,38,54,97,124
Primary Agriculture    ,9,13,16,21,24,17,25,28
Global Talent Stream   ,0,0,2,11,2,9,3,6
Permanent Resident Only,3,3,0,1,0,1,0,2
Unspecified            ,0,0,0,0,0,0,0,0
Newfoundland and Labrador Total,"1,240","1,031",294,323,479,386,524,471
Prince Edward Island,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-wage              ,64,48,12,18,15,19,26,33
Low-wage               ,27,26,28,34,31,33,105,86
Primary Agriculture    ,63,66,73,74,92,97,127,128
Global Talent Stream   ,0,0,1,2,8,3,5,3
Permanent Resident Only,0,0,0,1,0,0,0,1
Unspecified            ,0,0,0,0,0,0,0,0
Prince Edward Island Total                  ,154,140,114,129,146,152,263,251
Nova Scotia,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,452,304,170,190,135,149,190,234
Low-Wage,84,91,79,83,100,146,402,571
Primary Agriculture,161,169,198,188,218,218,271,276
Global Talent ,0,5,7,27,31,99,133,68
Permanent Resident Only,3,1,2,0,3,2,10,7
Unspecified          ,0,0,0,0,0,0,0,0
Nova Scotia Total,700,570,456,488,487,614,"1,006","1,156"
New Brunswick,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,321,189,117,105,79,117,188,142
Low-Wage,87,97,91,129,155,217,460,498
Primary Agriculture,42,38,39,54,56,73,91,114
Global Talent ,0,0,3,9,9,12,28,15
Permanent Resident Only,3,3,0,11,12,3,14,8
Unspecified          ,0,0,0,0,0,0,0,0
New Brunswick Total ,453,327,250,308,311,422,781,777
Quebec,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,"2,342","2,351","2,078","3,225","3,479","3,193","7,670","6,891"
Low-Wage,763,580,683,"1,324","2,005","1,580","8,389","12,582"
Primary Agriculture,"3,440","2,904","3,281","4,894","4,614","5,750","6,965","6,529"
Global Talent ,0,71,"1,001","1,869","1,279","1,916","3,389","2,045"
Permanent Resident Only,1,0,0,0,0,0,0,0
Unspecified          ,9,2,0,0,0,0,0,0
Quebec Total,"6,555","5,908","7,043","11,312","11,377","12,439","26,413","28,047"
Ontario,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,"2,912","3,065","2,722","3,709","3,680","3,372","6,856","9,231"
Low-Wage,"3,640","4,172","4,991","4,567","3,864","4,391","7,060","10,624"
Primary Agriculture,"2,628","2,997","3,051","2,961","2,994","3,141","3,662","3,628"
Global Talent ,0,262,747,"1,113","1,079","1,538","2,566","1,593"
Permanent Resident Only,866,615,450,643,"1,403",811,806,"2,780"
Unspecified          ,1,0,0,0,0,0,0,0
Ontario Total,"10,047","11,111","11,961","12,993","13,020","13,253","20,950","27,856"
Manitoba,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,129,126,151,218,176,279,650,858
Low-Wage,62,73,95,151,112,143,433,685
Primary Agriculture,102,112,114,154,156,137,197,183
Global Talent ,0,9,43,22,27,48,63,20
Permanent Resident Only,15,4,4,6,8,8,3,8
Unspecified          ,0,0,0,0,0,0,0,0
Manitoba Total,308,324,407,551,479,615,"1,346","1,754"
Saskatchewan,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,184,139,113,132,83,140,227,268
Low-Wage,180,191,183,224,137,202,580,716
Primary Agriculture,178,179,179,281,256,244,328,329
Global Talent ,0,0,7,17,9,28,19,5
Permanent Resident Only,6,2,1,4,9,3,3,6
Unspecified          ,0,0,0,0,0,0,0,0
Saskatchewan Total,548,511,483,658,494,617,"1,157","1,324"
Alberta,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,"1,340","1,107",883,"1,821",804,897,"2,889","3,626"
Low-Wage,"3,974","4,045","3,443","4,810","2,910","3,603","8,419","9,838"
Primary Agriculture,454,484,553,607,570,577,640,736
Global Talent ,0,11,72,98,67,169,268,140
Permanent Resident Only,539,139,132,125,88,104,289,240
Unspecified          ,3,0,0,0,0,0,0,0
Alberta Total,"6,310","5,786","5,083","7,461","4,439","5,350","12,505","14,580"
British Columbia,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,"4,077","3,783","2,815","5,453","4,459","4,291","7,014","6,312"
Low-Wage,"2,949","4,309","5,166","6,612","5,335","5,751","9,447","9,156"
Primary Agriculture,"1,126","1,230","1,760","1,552","1,985","1,718","2,115","2,596"
Global Talent ,0,364,785,799,602,"1,038","1,496",569
Permanent Resident Only,726,249,256,276,509,323,269,"1,046"
Unspecified          ,0,0,0,0,0,0,0,0
British Columbia Total,"8,878","9,935","10,782","14,692","12,890","13,121","20,341","19,679"
Yukon ,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,70,93,96,108,33,118,115,113
Low-Wage,26,15,9,23,5,6,17,15
Primary Agriculture,0,0,0,0,0,0,0,0
Global Talent ,0,0,0,0,1,0,0,0
Permanent Resident Only,0,1,0,0,0,0,0,0
Unspecified          ,0,0,0,0,0,0,0,0
Yukon Total,96,109,105,131,39,124,132,128
Northwest Territories,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,25,23,2,9,1,0,8,9
Low-Wage,35,22,18,28,21,20,45,43
Primary Agriculture,0,0,0,1,1,1,1,0
Global Talent ,0,0,0,0,0,0,1,2
Permanent Resident Only,0,0,0,0,0,0,0,0
Unspecified          ,0,0,0,0,0,0,0,0
Northwest Territories Total,60,45,20,38,23,21,55,54
Nunavut,,,,,,,,
Program Stream ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
High-Wage,57,20,43,16,13,18,12,27
Low-Wage,73,6,61,44,10,25,29,54
Primary Agriculture,0,0,0,0,0,0,0,0
Global Talent ,0,0,0,0,0,0,0,1
Permanent Resident Only,0,1,0,0,0,0,0,0
Unspecified          ,0,0,0,0,0,0,0,0
Nunavut Total,130,27,104,60,23,43,41,82
Notes:,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,
"2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.",,,,,,,,
"3. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).

",,,,,,,,
