Number of Positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC) Occupational Skill Level and Province/Territory ,,,,,,,,
Canada,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,"1,834","1,701","1,452","2,180","2,646","2,569","3,894","4,460"
A - Professionals,"4,121","3,385","3,947","5,423","4,856","6,134","10,641","8,393"
B - Skilled and Technical,"14,205","14,716","13,239","21,375","19,654","19,318","41,203","46,485"
C - Intermediate and Clerical,"14,667","15,402","17,873","18,568","15,594","17,539","22,966","25,603"
D - Elemental and Labourers,652,620,591,"1,597","1,455","1,596","6,805","11,207"
Canada Total,"35,479","35,824","37,102","49,144","44,207","47,157","85,514","96,159"
Newfoundland and Labrador,,,,,,,,
Occupational  Skill Level,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,67,34,14,9,16,22,10,13
A - Professionals,131,83,21,34,41,41,41,48
B - Skilled and Technical,813,715,220,225,328,249,353,261
C - Intermediate and Clerical,217,188,37,53,88,67,74,93
D - Elemental and Labourers,12,11,2,2,6,7,46,56
Newfoundland and Labrador Total,"1,240","1,031",294,323,479,386,524,471
Prince Edward Island,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,8,4,3,3,9,6,3,5
A - Professionals,41,11,2,5,6,3,8,3
B - Skilled and Technical,24,34,12,26,20,26,67,67
C - Intermediate and Clerical,73,87,95,92,109,110,155,135
D - Elemental and Labourers,8,4,2,3,2,7,30,41
Prince Edward Island Total,154,140,114,129,146,152,263,251
Nova Scotia,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,52,59,42,40,47,42,54,53
A - Professionals,118,68,62,58,53,112,152,90
B - Skilled and Technical,320,201,112,157,127,145,353,407
C - Intermediate and Clerical,195,222,228,218,234,276,352,377
D - Elemental and Labourers,15,20,12,15,26,39,94,228
Nova Scotia Total,700,570,456,488,487,614,"1,006","1,156"
New Brunswick,,,,,,,,
Occupational  Skill Level,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,10,9,4,6,13,13,29,30
A - Professionals,35,29,8,19,12,22,47,27
B - Skilled and Technical,252,147,99,135,130,171,313,300
C - Intermediate and Clerical,152,134,133,131,142,191,277,256
D - Elemental and Labourers,4,8,6,17,14,25,115,163
New Brunswick Total ,453,327,250,308,311,422,781,777
Quebec,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,132,129,151,193,197,217,453,530
A - Professionals,"1,025",966,"1,407","2,281","1,949","2,514","4,607","3,637"
B - Skilled and Technical,"1,534","1,352","1,535","2,611","2,667","2,480","8,666","10,532"
C - Intermediate and Clerical,"3,660","3,244","3,716","5,728","5,793","6,614","10,149","10,563"
D - Elemental and Labourers,204,217,234,499,771,614,"2,536","2,780"
Quebec Total,"6,555","5,908","7,043","11,312","11,377","12,439","26,413","28,047"
Ontario,,,,,,,,
Occupational  Skill Level,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,584,567,585,784,"1,005",997,"1,532","2,181"
A - Professionals,"1,238","1,116","1,277","1,657","1,506","1,855","3,299","2,828"
B - Skilled and Technical,"2,571","3,099","2,998","4,458","5,686","4,595","9,514","14,207"
C - Intermediate and Clerical,"5,612","6,247","6,993","5,968","4,664","5,489","5,734","6,838"
D - Elemental and Labourers,42,82,108,126,157,317,869,"1,798"
Ontario Total,"10,047","11,111","11,961","12,993","13,020","13,253","20,950","27,856"
Manitoba,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,12,13,20,37,23,27,45,55
A - Professionals,56,46,63,50,44,95,121,100
B - Skilled and Technical,112,128,160,200,177,251,691,920
C - Intermediate and Clerical,118,129,156,250,229,224,376,410
D - Elemental and Labourers,10,8,8,14,6,18,113,269
Manitoba Total,308,324,407,551,479,615,"1,346","1,754"
Saskatchewan,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,17,18,10,14,15,24,21,37
A - Professionals,62,53,41,36,27,48,50,29
B - Skilled and Technical,209,187,173,249,196,239,594,596
C - Intermediate and Clerical,236,236,252,331,243,293,381,436
D - Elemental and Labourers,24,17,7,28,13,13,111,226
Saskatchewan Total,548,511,483,658,494,617,"1,157","1,324"
Alberta,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,487,315,172,257,160,217,369,420
A - Professionals,383,225,211,272,186,294,548,584
B - Skilled and Technical,"3,632","3,498","2,743","4,700","3,060","3,856","8,795","7,894"
C - Intermediate and Clerical,"1,566","1,628","1,913","1,990",968,974,"1,779","2,404"
D - Elemental and Labourers,242,120,44,242,65,8,"1,014","3,278"
Alberta Total,"6,310","5,786","5,083","7,461","4,439","5,350","12,505","14,580"
British Columbia,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,459,549,445,832,"1,159",999,"1,371","1,134"
A - Professionals,967,736,789,949,"1,008","1,069","1,685",971
B - Skilled and Technical,"4,652","5,280","5,094","8,517","7,227","7,222","11,750","11,177"
C - Intermediate and Clerical,"2,714","3,240","4,294","3,750","3,103","3,286","3,675","4,057"
D - Elemental and Labourers,86,130,160,643,393,545,"1,860","2,340"
