"Number of Positive Labour Market Impact Assessments (LMIA) by National Occupational Classification - 2011 (NOC) Occupational Skill Type, and Province/Territory ",,,,,,,,
Canada,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,"1,834","1,701","1,452","2,180","2,646","2,569","3,894","4,460"
"1 - Business, finance and administration occupations ","1,065","1,196","1,153","2,492","2,887","2,499","6,739","10,035"
2 - Natural and applied sciences and related occupations ,"3,350","3,238","3,465","5,003","4,200","5,360","9,419","7,204"
3 - Health occupations ,617,478,401,682,869,972,"1,778","2,552"
"4 - Occupations in education, law and social, community and government services ","6,797","7,458","9,003","7,153","4,451","5,515","5,142","5,467"
"5 - Occupations in art, culture, recreation and sport ","4,132","2,777","2,378","2,377","1,172","1,296","2,482","2,095"
6 - Sales and service occupations ,"6,013","6,841","6,286","11,271","9,987","9,894","24,417","31,142"
"7 - Trades, transport and equipment operators and related occupations ","3,090","3,447","3,131","6,143","5,607","5,719","13,286","14,689"
"8 - Natural resources, agriculture and related production occupations ","8,332","8,344","9,430","11,037","11,243","12,192","15,146","15,252"
9 - Occupations in manufacturing and utilities ,249,344,403,805,"1,143","1,140","3,206","3,252"
Canada Total,"35,479","35,824","37,102","49,144","44,207","47,157","85,514","96,159"
Newfoundland and Labrador,,,,,,,,
Occupational Skill Type,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,67,34,14,9,16,22,10,13
"1 - Business, finance and administration occupations ",14,6,5,4,13,11,9,16
2 - Natural and applied sciences and related occupations ,567,453,98,143,158,142,151,108
3 - Health occupations ,27,10,8,13,29,17,15,19
"4 - Occupations in education, law and social, community and government services ",25,13,11,7,4,1,4,5
"5 - Occupations in art, culture, recreation and sport ",11,9,1,6,2,1,0,1
6 - Sales and service occupations ,117,77,29,30,33,44,71,89
"7 - Trades, transport and equipment operators and related occupations ",371,350,84,73,179,101,154,78
"8 - Natural resources, agriculture and related production occupations ",32,72,39,33,40,43,83,115
9 - Occupations in manufacturing and utilities ,9,7,5,5,5,4,27,27
Newfoundland and Labrador Total,"1,240","1,031",294,323,479,386,524,471
Prince Edward Island,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,8,4,3,3,9,6,3,5
"1 - Business, finance and administration occupations ",1,1,0,1,0,2,1,7
2 - Natural and applied sciences and related occupations ,31,13,2,1,4,2,5,4
3 - Health occupations ,4,4,0,3,3,1,4,2
"4 - Occupations in education, law and social, community and government services ",6,3,4,5,0,3,2,2
"5 - Occupations in art, culture, recreation and sport ",4,1,0,1,0,0,1,0
6 - Sales and service occupations ,8,11,6,12,7,9,60,45
"7 - Trades, transport and equipment operators and related occupations ",13,19,10,12,9,10,21,25
"8 - Natural resources, agriculture and related production occupations ",62,66,72,74,92,96,127,131
9 - Occupations in manufacturing and utilities ,17,18,17,17,22,23,39,30
Prince Edward Island Total,154,140,114,129,146,152,263,251
Nova Scotia,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,52,59,42,40,47,42,54,53
"1 - Business, finance and administration occupations ",10,5,8,5,5,16,43,72
2 - Natural and applied sciences and related occupations ,192,92,40,88,56,110,147,79
3 - Health occupations ,26,10,6,5,8,7,6,8
"4 - Occupations in education, law and social, community and government services ",23,28,35,24,23,27,8,21
"5 - Occupations in art, culture, recreation and sport ",16,3,21,7,0,1,3,3
6 - Sales and service occupations ,73,74,43,55,58,72,294,466
"7 - Trades, transport and equipment operators and related occupations ",90,110,44,55,25,61,95,102
"8 - Natural resources, agriculture and related production occupations ",194,170,199,188,231,218,272,282
