"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, Program Stream and Province/Territory",,,,,,,,,
Newfoundland and Labrador,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
1010 - Avalon Peninsula,High-wage              ,135,67,48,26,20,18,30,22
1010 - Avalon Peninsula,Low-wage               ,54,58,79,25,11,14,504,778
1010 - Avalon Peninsula,Primary Agriculture    ,26,17,24,27,46,32,46,35
1010 - Avalon Peninsula,Global Talent Stream   ,0,0,1,21,2,10,3,4
1010 - Avalon Peninsula,Permanent Resident Only,4,2,0,2,0,0,0,1
1020 - South Coast--Burin Peninsula,High-wage              ,0,8,4,3,2,2,13,4
1020 - South Coast--Burin Peninsula,Low-wage               ,1,1,0,0,0,2,23,56
1020 - South Coast--Burin Peninsula,Global Talent Stream   ,0,0,0,0,0,0,0,1
1030 - West Coast--Northern Peninsula--Labrador,High-wage              ,22,9,16,9,9,5,11,21
1030 - West Coast--Northern Peninsula--Labrador,Low-wage               ,19,11,23,18,17,26,61,85
1030 - West Coast--Northern Peninsula--Labrador,Primary Agriculture    ,8,13,16,12,19,21,36,44
1030 - West Coast--Northern Peninsula--Labrador,Global Talent Stream   ,0,0,1,0,0,1,0,1
1030 - West Coast--Northern Peninsula--Labrador,Permanent Resident Only,0,1,0,0,0,0,0,0
1040 - Notre Dame--Central Bonavista Bay,High-wage              ,14,5,4,8,11,18,18,16
1040 - Notre Dame--Central Bonavista Bay,Low-wage               ,2,4,1,14,11,19,114,123
1040 - Notre Dame--Central Bonavista Bay,Primary Agriculture    ,2,3,2,18,16,20,21,22
1040 - Notre Dame--Central Bonavista Bay,Permanent Resident Only,0,0,0,0,0,2,0,1
9-Unspecified,High-wage              ,"1,366",937,244,291,609,433,558,390
9-Unspecified,Low-wage               ,88,78,10,11,154,71,15,64
9-Unspecified,Primary Agriculture    ,0,3,4,10,0,0,0,0
Newfoundland and Labrador Total ,,"1,741","1,217",477,495,927,694,"1,453","1,668"
Prince Edward Island     ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
1110 - Prince Edward Island,High-wage              ,124,129,116,84,61,69,119,94
1110 - Prince Edward Island,Low-wage               ,462,509,487,566,901,924,"1,488",901
1110 - Prince Edward Island,Primary Agriculture    ,360,418,408,526,754,508,679,712
1110 - Prince Edward Island,Global Talent Stream   ,0,0,1,2,8,3,5,3
1110 - Prince Edward Island,Permanent Resident Only,0,0,0,1,0,0,0,1
Prince Edward Isand Total ,,946,"1,056","1,012","1,179","1,724","1,504","2,291","1,711"
Nova Scotia              ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
1210 - Cape Breton,High-wage              ,60,18,19,12,4,6,7,25
1210 - Cape Breton,Low-wage               ,37,91,73,57,157,188,327,359
1210 - Cape Breton,Primary Agriculture    ,0,0,0,0,0,0,0,1
1210 - Cape Breton,Global Talent Stream   ,0,0,0,0,0,1,2,1
1210 - Cape Breton,Permanent Resident Only,0,0,0,0,0,0,1,0
1220 - North Shore,High-wage              ,33,16,24,13,7,14,22,27
1220 - North Shore,Low-wage               ,87,135,93,164,207,468,488,304
1220 - North Shore,Primary Agriculture    ,326,431,956,488,490,558,880,620
1220 - North Shore,Global Talent Stream   ,0,0,0,0,0,0,1,0
