"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, National Occupational Classification - 2011 (NOC) Occupational skill Type, and Province/Territory ",,,,,,,,,,
,,,,,,,,,,
Province/Territory,Economic Region ,NOC 2011 Occupational Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,1010 - Avalon Peninsula,0 - Management occupations ,16,10,8,7,0,3,2,2
Newfoundland and Labrador,1010 - Avalon Peninsula,"1 - Business, finance and administration occupations ",0,1,5,1,0,0,0,5
Newfoundland and Labrador,1010 - Avalon Peninsula,2 - Natural and applied sciences and related occupations ,77,26,8,28,4,15,6,8
Newfoundland and Labrador,1010 - Avalon Peninsula,3 - Health occupations ,1,1,1,1,6,2,1,6
Newfoundland and Labrador,1010 - Avalon Peninsula,"4 - Occupations in education, law and social, community and government services ",21,9,9,6,3,1,5,2
Newfoundland and Labrador,1010 - Avalon Peninsula,"5 - Occupations in art, culture, recreation and sport ",8,2,1,3,2,1,0,0
Newfoundland and Labrador,1010 - Avalon Peninsula,6 - Sales and service occupations ,37,18,15,22,9,7,53,94
Newfoundland and Labrador,1010 - Avalon Peninsula,"7 - Trades, transport and equipment operators and related occupations ",24,19,23,1,9,3,17,8
Newfoundland and Labrador,1010 - Avalon Peninsula,"8 - Natural resources, agriculture and related production occupations ",34,21,24,28,46,37,52,45
Newfoundland and Labrador,1010 - Avalon Peninsula,9 - Occupations in manufacturing and utilities ,1,37,58,4,0,5,447,670
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,0 - Management occupations ,0,1,1,0,0,1,2,2
Newfoundland and Labrador ,1020 - South Coast--Burin Peninsula,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,0
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,2 - Natural and applied sciences and related occupations ,0,0,0,1,0,1,9,1
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,3 - Health occupations ,0,0,3,2,2,0,0,2
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,"4 - Occupations in education, law and social, community and government services ",1,0,0,0,0,0,1,1
Newfoundland and Labrador ,1020 - South Coast--Burin Peninsula,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,6 - Sales and service occupations ,0,1,0,0,0,2,0,4
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,"7 - Trades, transport and equipment operators and related occupations ",0,3,0,0,0,0,2,2
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,"8 - Natural resources, agriculture and related production occupations ",0,4,0,0,0,0,0,0
Newfoundland and Labrador,1020 - South Coast--Burin Peninsula,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,22,49
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,0 - Management occupations ,3,0,5,0,0,1,0,1
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,2
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,2 - Natural and applied sciences and related occupations ,2,1,2,1,0,0,0,1
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,3 - Health occupations ,13,7,1,5,9,2,4,8
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,"4 - Occupations in education, law and social, community and government services ",1,1,1,0,0,0,0,2
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,0,1
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,6 - Sales and service occupations ,18,8,23,18,7,26,48,36
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,"7 - Trades, transport and equipment operators and related occupations ",3,3,6,3,0,3,7,11
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,"8 - Natural resources, agriculture and related production occupations ",8,13,18,12,19,21,36,44
Newfoundland and Labrador,1030 - West Coast--Northern Peninsula--Labrador,9 - Occupations in manufacturing and utilities ,0,1,0,0,10,0,13,45
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,0 - Management occupations ,0,1,0,0,0,2,2,5
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,4
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,2 - Natural and applied sciences and related occupations ,2,0,1,0,0,1,0,0
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,3 - Health occupations ,9,1,3,5,11,12,10,7
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,"4 - Occupations in education, law and social, community and government services ",1,1,1,1,0,0,0,1
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,"5 - Occupations in art, culture, recreation and sport ",1,0,0,3,0,0,0,0
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,6 - Sales and service occupations ,3,3,0,1,1,6,20,26
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,"7 - Trades, transport and equipment operators and related occupations ",0,3,0,0,0,0,1,1
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,"8 - Natural resources, agriculture and related production occupations ",2,3,2,18,16,20,21,32
Newfoundland and Labrador,1040 - Notre Dame--Central Bonavista Bay,9 - Occupations in manufacturing and utilities ,0,0,0,12,10,18,99,86
Newfoundland and Labrador,9-Unspecified,0 - Management occupations ,56,22,0,2,17,16,5,4
Newfoundland and Labrador,9-Unspecified,"1 - Business, finance and administration occupations ",16,5,0,5,14,18,11,7
Newfoundland and Labrador,9-Unspecified,2 - Natural and applied sciences and related occupations ,626,442,106,166,181,149,191,126
Newfoundland and Labrador,9-Unspecified,3 - Health occupations ,5,1,0,0,3,2,0,0
Newfoundland and Labrador,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",1,2,0,0,1,0,0,0
Newfoundland and Labrador,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",1,7,0,0,0,0,0,0
Newfoundland and Labrador,9-Unspecified,6 - Sales and service occupations ,115,53,11,9,21,44,15,32
Newfoundland and Labrador,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",557,374,100,94,364,236,240,98
Newfoundland and Labrador,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",26,62,41,35,30,35,109,145
Newfoundland and Labrador,9-Unspecified,9 - Occupations in manufacturing and utilities ,51,50,0,1,132,4,2,42
Newfoundland and Labrador,Total,,"1,741","1,217",477,495,927,694,"1,453","1,668"
Prince Edward Island     ,1110 - Prince Edward Island,0 - Management occupations ,9,4,4,3,9,7,4,6
